Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
47846.055	28762.688	1985209	268480	3001674496.000	1512.019	1012.226	1267.000	200	4078	214.668	208.811	13.112	42.221	10.900	42.517	217.966	219.022	12.891	0	0	1	438	431	24
2.025	11.338	84	63	43140.000	513.571	289.388	430.000	204	1342	343.333	50.440	4.893	0.718	0.200	0.685	343.309	50.451	4.859	341	49	2	5	4	6
2.916	15.570	121	80	68185.000	563.512	351.351	471.000	200	1725	329.132	371.223	5.058	0.841	0.231	0.842	329.171	371.258	4.983	327	369	2	5	6	7
2.868	16.382	119	81	49791.000	418.412	231.241	319.000	201	1206	374.798	131.042	6.361	0.832	0.228	0.805	374.963	131.240	6.287	370	127	3	8	8	7
0.819	6.084	34	30	11774.000	346.294	114.014	330.000	200	653	347.235	258.971	4.588	0.505	0.136	0.481	347.244	258.965	4.647	346	258	3	4	3	4
0.241	2.874	10	10	2563.000	256.300	49.022	229.500	212	340	353.500	255.000	5.000	0.300	0.111	0.278	353.492	254.995	4.954	353	254	4	2	3	3
0.048	0.899	2	2	426.000	213.000	7.071	213.000	208	218	119.000	281.000	5.500	0.195	0.000	0.195	119.000	281.000	5.488	119	281	5	1	1	2
2.338	13.437	97	67	48200.000	496.907	266.720	409.000	202	1315	385.701	304.206	7.299	0.748	0.165	0.740	385.675	304.225	7.256	383	302	5	6	6	6
0.024	0.511	1	1	202.000	202.000	0.000	202.000	202	202	50.000	230.000	6.000	0.000	0.000	0.000	50.000	230.000	6.000	50	230	6	1	1	1
0.844	6.665	35	30	10813.000	308.943	99.028	277.000	200	557	138.229	257.886	9.114	0.527	0.175	0.501	138.267	257.866	9.114	137	257	7	4	3	5
0.072	1.411	3	3	633.000	211.000	4.000	211.000	207	215	137.667	265.000	9.000	0.302	0.190	0.399	137.673	265.000	8.994	137	265	8	2	1	3
12.509	41.355	519	274	455172.000	877.017	823.998	510.000	200	3679	337.796	62.983	21.382	1.364	0.274	1.339	337.752	63.018	22.415	333	58	15	10	11	10
0.723	5.960	30	28	8668.000	288.933	73.744	276.500	202	485	364.667	108.967	18.500	0.485	0.145	0.490	364.702	108.994	18.492	363	108	17	4	3	4
0.145	2.310	6	6	1258.000	209.667	7.815	207.500	202	222	291.667	389.500	19.333	0.319	0.119	0.300	291.670	389.508	19.340	291	389	18	2	2	3
0.024	0.511	1	1	204.000	204.000	0.000	204.000	204	204	147.000	49.000	19.000	0.000	0.000	0.000	147.000	49.000	19.000	147	49	19	1	1	1
0.024	0.511	1	1	212.000	212.000	0.000	212.000	212	212	369.000	327.000	19.000	0.000	0.000	0.000	369.000	327.000	19.000	369	327	19	1	1	1
2.314	13.672	96	90	34181.000	356.052	127.808	329.000	202	697	71.000	482.156	23.469	0.704	0.218	0.722	71.023	482.128	23.573	67	479	22	10	7	3
0.193	2.416	8	8	1924.000	240.500	33.726	237.000	205	294	283.000	276.750	23.875	0.260	0.088	0.288	283.031	276.731	23.893	282	276	23	3	3	2
0.096	1.270	4	4	911.000	227.750	17.858	225.000	209	252	301.500	25.500	24.000	0.176	0.000	0.176	301.475	25.477	24.000	301	25	24	2	2	1
0.096	1.464	4	4	827.000	206.750	10.844	201.500	201	223	300.250	80.000	24.000	0.190	0.092	0.221	300.244	80.000	24.000	300	79	24	2	3	1
0.072	1.146	3	3	693.000	231.000	10.392	225.000	225	243	375.333	329.333	24.000	0.163	0.039	0.185	375.325	329.325	24.000	375	329	24	2	2	1
0.145	1.905	6	6	1409.000	234.833	31.122	231.500	201	280	426.833	351.167	24.000	0.227	0.092	0.252	426.802	351.186	24.000	426	350	24	3	3	1
0.072	1.146	3	3	654.000	218.000	12.530	219.000	205	230	312.333	370.333	24.000	0.163	0.039	0.185	312.335	370.313	24.000	312	370	24	2	2	1
0.024	0.511	1	1	210.000	210.000	0.000	210.000	210	210	311.000	385.000	24.000	0.000	0.000	0.000	311.000	385.000	24.000	311	385	24	1	1	1
