Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
11297.089	14809.694	468734	115805	327620928	698.948	561.283	504.000	200	4071	233.622	179.314	11.271	32.334	16.913	30.146	235.886	179.807	9.210	0	0	1	456	291	26
23.716	122.331	984	837	762315	774.710	675.492	505.500	200	3409	487.975	0.971	5.297	3.594	1.884	3.369	490.317	0.684	4.317	457	0	1	55	11	13
0.024	0.511	1	1	232	232.000	0.000	232.000	232	232	281.000	98.000	1.000	0.000	0.000	0.000	281.000	98.000	1.000	281	98	1	1	1	1
0.362	3.563	15	15	4479	298.600	100.001	308.000	200	532	74.267	174.933	1.333	0.331	0.081	0.341	74.279	174.955	1.269	73	174	1	4	3	2
44.443	196.225	1844	1536	928922	503.754	260.036	430.000	200	1817	0.729	412.603	10.626	3.585	1.416	3.697	0.571	413.883	10.057	0	390	1	3	47	24
0.241	2.557	10	10	2279	227.900	22.328	223.000	202	271	354.800	50.600	6.500	0.291	0.054	0.296	354.796	50.614	6.507	354	50	6	3	2	2
11.930	73.871	495	470	175125	353.788	159.628	306.000	200	1215	0.507	354.160	15.820	2.294	1.009	2.252	0.445	354.878	15.627	0	340	7	3	25	20
29.355	142.090	1218	1045	568773	466.973	261.578	376.500	200	2007	510.285	37.838	18.924	3.281	1.499	3.185	510.403	37.082	19.264	509	16	9	3	51	18
3.567	27.046	148	148	41173	278.196	67.273	259.500	200	493	0.311	328.135	16.007	1.181	0.494	1.199	0.277	327.941	16.024	0	321	11	2	15	10
4.820	37.308	200	200	56048	280.240	90.550	247.500	200	751	0.345	302.875	19.320	1.585	0.553	1.587	0.316	302.375	19.181	0	295	14	2	16	13
0.024	0.511	1	1	201	201.000	0.000	201.000	201	201	467.000	0.000	16.000	0.000	0.000	0.000	467.000	0.000	16.000	467	0	16	1	1	1
2.723	21.511	113	113	32276	285.628	62.220	276.000	200	470	0.319	372.708	22.496	1.208	0.570	1.189	0.279	372.640	22.546	0	368	16	2	11	11
