Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
18759.656	31728.104	778368	226010	366396928	470.725	303.674	371.000	200	3775	255.316	186.560	10.392	38.226	17.238	37.193	253.734	191.738	9.164	0	0	1	512	317	24
0.940	8.023	39	39	11906	305.282	97.564	267.000	200	551	507.641	0.333	2.744	0.581	0.224	0.601	507.722	0.254	2.730	505	0	1	6	2	5
1.133	8.730	47	43	12480	265.532	53.179	258.000	200	403	480.234	47.745	1.787	0.563	0.180	0.542	480.191	47.691	1.728	478	46	1	6	6	4
0.603	5.572	25	22	6064	242.560	34.015	228.000	202	302	11.600	63.200	2.560	0.482	0.146	0.456	11.594	63.221	2.532	10	62	1	4	3	4
0.362	3.597	15	15	3909	260.600	38.253	259.000	204	329	487.533	64.467	2.600	0.423	0.179	0.300	487.516	64.446	2.614	487	64	1	2	2	4
4.555	22.536	189	117	56615	299.550	90.517	272.000	200	569	16.926	70.021	5.233	1.017	0.293	1.006	16.757	69.985	5.167	13	68	1	9	6	9
0.072	1.146	3	3	638	212.667	8.021	212.000	205	221	49.000	81.000	1.000	0.166	0.144	0.249	49.000	80.989	1.000	49	80	1	1	3	1
1.109	8.485	46	46	14034	305.087	92.197	273.000	206	550	9.435	88.109	1.326	0.612	0.296	0.550	9.532	88.350	1.295	7	83	1	5	10	2
0.410	3.968	17	16	4652	273.647	62.013	254.000	201	418	507.824	111.706	1.824	0.388	0.102	0.404	507.810	111.714	1.768	507	111	1	3	3	3
0.892	7.072	37	33	12152	328.432	124.939	275.000	201	671	69.432	122.297	1.703	0.501	0.126	0.482	69.425	122.406	1.618	68	119	1	4	6	3
0.145	1.905	6	6	1352	225.333	19.654	223.000	203	253	50.667	131.167	1.000	0.237	0.095	0.244	50.646	131.177	1.000	50	130	1	3	3	1
0.024	0.511	1	1	213	213.000	0.000	213.000	213	213	124.000	170.000	1.000	0.000	0.000	0.000	124.000	170.000	1.000	124	170	1	1	1	1
0.024	0.511	1	1	206	206.000	0.000	206.000	206	206	136.000	171.000	1.000	0.000	0.000	0.000	136.000	171.000	1.000	136	171	1	1	1	1
0.217	2.610	9	9	2255	250.556	38.575	254.000	200	309	130.889	173.556	1.222	0.302	0.112	0.310	130.902	173.557	1.182	129	173	1	4	2	2
0.313	3.580	13	12	2833	217.923	20.089	210.000	200	255	3.000	218.846	1.538	0.342	0.086	0.328	2.994	218.833	1.537	2	218	1	3	3	3
0.024	0.511	1	1	212	212.000	0.000	212.000	212	212	377.000	257.000	1.000	0.000	0.000	0.000	377.000	257.000	1.000	377	257	1	1	1	1
