Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
10214.339	8947.289	423809	79797	351308032	828.930	593.729	651.000	200	4081	98.879	258.061	9.634	32.295	13.486	30.703	100.380	248.622	8.512	0	0	1	187	507	19
0.410	3.757	17	17	5892	346.588	122.221	345.000	212	642	116.235	182.000	1.412	0.340	0.075	0.347	116.283	182.029	1.346	115	181	1	4	3	2
0.072	1.146	3	3	731	243.667	52.937	222.000	205	304	82.667	264.667	1.000	0.163	0.039	0.185	82.696	264.720	1.000	82	264	1	2	2	1
0.048	0.829	2	2	520	260.000	18.385	260.000	247	273	121.000	266.500	1.000	0.124	0.000	0.124	121.000	266.475	1.000	121	266	1	1	2	1
0.121	1.658	5	5	1262	252.400	38.436	236.000	207	296	98.600	273.600	1.200	0.224	0.070	0.195	98.628	273.584	1.164	98	273	1	2	2	2
0.699	5.485	29	25	11549	398.241	186.924	323.000	213	886	101.448	279.552	1.690	0.445	0.075	0.463	101.382	279.611	1.539	100	278	1	4	4	3
0.241	2.804	10	10	2299	229.900	27.461	228.500	201	277	132.200	317.300	1.300	0.310	0.095	0.309	132.156	317.301	1.271	131	317	1	4	2	2
0.024	0.511	1	1	238	238.000	0.000	238.000	238	238	54.000	362.000	1.000	0.000	0.000	0.000	54.000	362.000	1.000	54	362	1	1	1	1
0.048	0.829	2	2	479	239.500	36.062	239.500	214	265	510.000	467.500	1.000	0.124	0.000	0.124	510.000	467.447	1.000	510	467	1	1	2	1
0.217	2.821	9	9	2548	283.111	66.501	284.000	202	384	139.556	511.000	3.333	0.352	0.125	0.382	139.642	511.000	3.363	138	511	2	4	1	3
3.543	20.330	147	125	73312	498.721	303.680	376.000	202	1684	25.435	510.299	16.027	0.973	0.331	0.980	25.405	510.454	15.882	20	509	12	11	3	8
1.157	8.517	48	38	16721	348.354	120.053	331.500	202	673	3.875	210.188	15.521	0.597	0.179	0.615	3.872	210.160	15.514	2	209	13	5	4	6
12.436	41.799	516	271	366152	709.597	495.134	542.000	200	2602	89.740	313.128	16.696	1.339	0.251	1.295	89.689	313.006	16.916	86	306	13	10	15	7
0.217	2.751	9	9	2017	224.111	20.251	218.000	203	265	19.778	203.667	15.000	0.303	0.124	0.315	19.782	203.682	14.994	19	203	14	3	2	3
1.446	11.445	60	50	15972	266.200	60.163	250.000	202	431	11.700	207.767	15.633	0.655	0.202	0.652	11.688	207.635	15.643	10	205	14	5	8	5
5.423	22.521	225	138	158138	702.836	452.282	564.000	201	2031	26.044	264.773	17.138	0.984	0.152	0.985	26.037	264.745	17.372	22	261	14	9	8	6
0.121	1.798	5	5	1108	221.600	12.779	220.000	204	235	0.000	8.600	16.200	0.289	0.143	0.327	0.000	8.606	16.225	0	8	15	1	2	3
0.362	3.580	15	14	3616	241.067	23.611	236.000	217	300	3.000	223.000	16.400	0.352	0.077	0.341	3.003	222.980	16.400	2	222	15	3	3	3
1.832	10.546	76	59	34675	456.250	184.500	388.000	209	885	48.342	287.342	17.618	0.660	0.143	0.658	48.312	287.297	17.732	47	285	15	4	6	5
0.241	3.209	10	10	2330	233.000	34.241	220.500	204	298	1.000	215.200	17.500	0.341	0.137	0.320	1.003	215.186	17.512	0	215	16	3	2	4
