Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
24408.150	27832.871	1012733	224764	697255744	688.489	530.353	502.000	200	4085	286.284	289.911	11.471	38.224	18.706	35.600	278.944	298.348	10.472	0	0	1	472	487	22
5.881	22.574	244	149	215605	883.627	737.235	578.000	201	3323	458.344	30.209	2.889	0.996	0.123	0.991	458.325	30.231	2.388	455	27	1	8	8	6
0.337	3.439	14	14	4100	292.857	88.183	273.000	205	511	100.000	92.000	1.357	0.318	0.068	0.353	99.993	92.038	1.280	99	91	1	3	3	2
0.048	0.829	2	2	415	207.500	2.121	207.500	206	209	444.000	116.500	1.000	0.124	0.000	0.124	444.000	116.504	1.000	444	116	1	1	2	1
0.024	0.511	1	1	228	228.000	0.000	228.000	228	228	425.000	167.000	1.000	0.000	0.000	0.000	425.000	167.000	1.000	425	167	1	1	1	1
0.265	2.928	11	11	2922	265.636	57.373	253.000	202	399	86.818	317.818	1.273	0.297	0.075	0.316	86.833	317.835	1.230	86	317	1	3	3	2
0.313	3.316	13	13	3842	295.538	82.296	274.000	206	502	134.077	366.077	1.385	0.313	0.065	0.333	134.106	366.058	1.340	133	365	1	3	3	2
0.072	1.217	3	3	660	220.000	20.224	212.000	205	243	457.333	110.000	4.667	0.213	0.059	0.211	457.321	110.000	4.689	457	110	4	2	1	2
0.554	4.867	23	21	6977	303.348	81.147	291.000	201	523	343.130	147.870	5.826	0.425	0.119	0.429	343.144	147.862	5.850	342	147	4	3	3	4
0.024	0.511	1	1	210	210.000	0.000	210.000	210	210	354.000	174.000	4.000	0.000	0.000	0.000	354.000	174.000	4.000	354	174	4	1	1	1
0.072	1.217	3	3	673	224.333	18.824	215.000	212	246	308.667	451.000	4.667	0.213	0.059	0.211	308.681	451.000	4.685	308	451	4	2	1	2
0.193	2.433	8	8	1879	234.875	24.885	232.500	207	283	438.625	148.375	6.250	0.291	0.111	0.281	438.641	148.351	6.242	438	148	5	2	2	3
0.241	3.015	10	10	2218	221.800	18.317	218.500	200	252	85.300	315.500	6.600	0.365	0.161	0.296	85.281	315.491	6.618	85	315	5	2	2	4
0.699	5.943	29	25	6917	238.517	32.790	230.000	202	322	447.172	118.517	7.483	0.478	0.124	0.475	447.202	118.498	7.472	446	117	6	4	4	4
0.554	4.833	23	23	4969	216.043	8.916	216.000	201	235	406.609	90.348	7.522	0.406	0.124	0.420	406.600	90.327	7.525	405	89	7	5	4	2
0.121	1.658	5	5	1123	224.600	7.127	225.000	217	235	53.600	307.600	7.800	0.224	0.070	0.195	53.606	307.598	7.805	53	307	7	2	2	2
0.121	1.587	5	5	1039	207.800	7.328	207.000	201	218	235.800	312.600	8.000	0.211	0.079	0.222	235.823	312.607	8.000	235	312	8	3	2	1
0.072	1.217	3	3	664	221.333	7.506	221.000	214	229	136.000	376.667	8.667	0.213	0.059	0.211	136.000	376.678	8.667	136	376	8	1	2	2
0.072	1.217	3	3	620	206.667	8.327	204.000	200	216	380.000	116.333	9.333	0.213	0.059	0.211	380.000	116.348	9.323	380	116	9	1	2	2
0.217	2.433	9	9	2184	242.667	20.187	247.000	204	272	282.556	254.556	10.333	0.297	0.104	0.303	282.543	254.560	10.342	282	254	9	2	2	3
0.458	4.743	19	17	4336	228.211	21.392	227.000	200	278	302.105	309.263	10.684	0.427	0.143	0.389	302.113	309.268	10.696	301	308	9	3	3	4
0.675	7.388	28	27	6055	216.250	11.884	217.000	200	246	260.071	369.679	12.714	0.618	0.305	0.558	260.082	369.689	12.719	259	368	10	3	4	7
0.024	0.511	1	1	208	208.000	0.000	208.000	208	208	182.000	394.000	11.000	0.000	0.000	0.000	182.000	394.000	11.000	182	394	11	1	1	1
0.024	0.511	1	1	201	201.000	0.000	201.000	201	201	52.000	302.000	12.000	0.000	0.000	0.000	52.000	302.000	12.000	52	302	12	1	1	1
1.326	9.276	55	43	14696	267.200	62.229	247.000	201	453	244.764	309.945	13.873	0.619	0.163	0.594	244.817	309.883	13.789	243	308	12	4	5	5
