Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1006	996	1006	500	8048	8	0	8	8	8	283.887	497.898	9.381	6.468	1.708	6.685	283.887	497.898	9.381	277	493	1	17	14	18
1464	1186	1464	700	1464	1	0	1	1	1	276.006	505.181	6.764	7.085	1.963	7.204	276.006	505.181	6.764	269	495	1	15	17	16
1011	762	1011	489	3033	3	0	3	3	3	289.370	506.897	6.610	5.884	1.177	5.936	289.370	506.897	6.610	285	501	1	11	11	13
3896	2332	3896	1312	7792	2	0	2	2	2	324.294	503.889	8.998	10.469	3.166	10.433	324.294	503.889	8.998	308	495	1	31	17	19
1587	1566	1587	830	9522	6	0	6	6	6	307.248	262.543	9.745	8.270	2.820	8.408	307.248	262.543	9.745	297	253	6	21	25	11
10163	3434	10163	2118	152445	15	0	15	15	15	268.245	321.820	17.260	13.144	1.736	13.341	268.263	321.820	17.260	254	308	6	30	29	20
8651	3058	8651	1856	138416	16	0	16	16	16	238.399	382.101	17.454	12.502	1.802	12.518	238.399	382.101	17.454	226	367	6	26	30	20
6393	2886	6393	1701	147039	23	0	23	23	23	388.107	221.610	18.315	11.251	2.299	11.441	388.120	221.610	18.315	374	209	8	28	28	18
5078	2796	5078	1639	96482	19	0	19	19	19	499.440	473.845	18.257	9.831	2.518	10.308	499.454	473.846	18.257	488	463	8	24	23	18
1662	1384	1662	727	28254	17	0	17	17	17	237.389	423.977	17.126	7.846	2.407	7.687	237.389	423.977	17.126	229	412	10	18	20	15
2130	1304	2130	835	59640	28	0	28	28	28	507.530	389.027	19.915	8.227	2.272	7.927	507.530	389.027	19.915	501	376	11	11	27	15
4779	2544	4779	1493	129033	27	0	27	27	27	289.827	293.495	20.951	10.666	2.641	11.126	289.836	293.495	20.951	276	280	14	28	29	12
2366	1456	2366	931	70980	30	0	30	30	30	294.597	505.408	21.175	8.449	2.208	8.377	294.597	505.408	21.175	283	497	15	25	15	11
