Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
62313.660	34870.828	2585493	374682	987793920	382.052	529.977	164	1	3976	258.548	316.979	10.046	42.643	16.978	43.345	250.851	327.167	5.784	0	135	1	512	377	19
99.345	174.788	4122	1182	589929	143.117	304.576	16	1	2078	473.162	165.616	12.599	2.892	0.523	2.852	473.540	165.529	11.847	460	155	1	26	23	19
67.652	152.381	2807	938	236937	84.409	173.853	9	1	1224	480.643	19.156	12.654	2.601	0.567	2.589	480.799	19.705	11.425	468	6	3	22	23	17
75.847	216.073	3147	1269	168529	53.552	134.415	5	1	1295	40.066	76.690	13.452	2.843	0.857	3.003	40.305	75.973	12.506	23	65	5	34	25	15
48.203	114.714	2000	710	162912	81.456	188.665	8	1	1567	174.863	439.816	13.493	2.273	0.437	2.265	174.802	439.702	12.727	166	431	5	17	20	15
63.507	185.797	2635	1051	58555	22.222	45.228	5	1	442	55.927	54.278	13.132	2.690	0.849	2.703	56.676	55.752	12.631	46	39	6	20	32	14
26.897	92.840	1116	522	39031	34.974	95.916	4	1	852	36.202	158.651	13.630	1.862	0.508	1.905	35.572	156.962	13.014	31	152	7	17	18	13
53.408	175.671	2216	1026	62010	27.983	73.736	4	1	872	211.099	502.908	13.334	2.618	0.979	2.678	207.821	501.877	12.875	197	490	7	36	22	13
27.572	98.347	1144	565	15531	13.576	26.755	3	1	217	495.680	228.433	13.136	2.149	0.802	2.088	496.710	228.430	13.024	481	222	8	29	15	11
30.898	115.809	1282	647	11320	8.830	16.535	3	1	145	268.093	429.693	12.749	2.199	0.815	2.088	268.967	429.343	12.626	251	420	8	30	21	10
31.283	130.676	1298	724	9734	7.499	14.002	2	1	131	238.579	434.778	12.834	2.211	0.835	2.224	239.482	435.917	12.782	223	425	9	32	20	9
24.873	105.577	1032	567	8413	8.152	16.528	2	1	168	131.786	458.975	12.849	1.935	0.659	1.957	130.101	456.588	12.825	123	450	9	22	20	9
40.105	167.674	1664	925	9090	5.463	11.728	2	1	129	320.641	499.422	12.903	2.734	1.106	2.789	324.552	494.420	12.719	302	483	9	32	29	9
