Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
43847.051	24883.303	1819284	252275	2308211456.000	1268.747	1229.533	868	1	4089	266.958	263.398	11.787	41.046	16.786	40.959	267.915	267.271	10.276	0	0	1	472	476	22
33.043	85.289	1371	585	110343.000	80.484	219.969	6	1	1910	156.159	182.736	5.446	1.940	0.317	1.912	156.114	182.740	3.532	149	175	1	14	18	11
33.935	115.006	1408	793	80032.000	56.841	162.935	5	1	1782	5.837	5.521	17.077	2.228	0.765	2.237	4.915	7.080	20.496	0	0	8	17	18	15
53.312	119.638	2212	852	412216.000	186.354	490.827	8	1	3438	136.582	4.860	17.069	2.360	0.480	2.360	136.264	3.941	20.775	126	0	8	25	16	15
79.438	173.848	3296	1193	403673.000	122.474	354.506	7	1	3222	175.831	160.170	17.646	2.698	0.609	2.639	176.815	159.888	20.746	158	151	10	33	23	13
66.688	220.791	2767	1552	119089.000	43.039	143.799	4	1	1701	38.144	214.497	19.905	3.323	1.469	3.246	43.009	211.468	21.113	12	196	13	43	40	10
28.343	76.932	1176	537	94489.000	80.348	213.730	7	1	1606	129.842	68.779	19.168	1.832	0.405	1.804	128.889	69.632	21.051	123	59	14	16	19	9
50.107	184.235	2079	1294	79387.000	38.185	121.073	4	1	1616	7.311	226.278	20.186	3.864	1.555	3.884	6.330	229.717	21.186	0	199	14	28	50	9
41.454	138.847	1720	953	67829.000	39.435	103.317	5	1	1148	103.661	72.113	20.017	2.601	0.849	2.680	103.717	72.594	21.199	91	57	15	28	32	8
36.393	151.891	1510	1013	23729.000	15.715	32.675	4	1	318	73.572	178.530	20.650	2.917	1.417	2.625	72.540	179.179	21.353	53	165	17	45	24	6
