Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
22352.299	13295.314	927432	123666	232335856	250.515	363.495	122.000	1	3985	288.062	233.130	13.392	42.791	23.583	41.156	264.720	215.704	15.746	0	0	1	512	484	27
0.217	2.276	9	9	9	1.000	0.000	1.000	1	1	112.000	11.000	1.000	0.267	0.112	0.249	112.000	11.000	1.000	111	10	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	486.000	10.000	1.000	0.000	0.000	0.000	486.000	10.000	1.000	486	10	1	1	1	1
0.145	1.905	6	6	6	1.000	0.000	1.000	1	1	389.833	15.833	1.000	0.227	0.092	0.252	389.833	15.833	1.000	389	15	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	117.000	24.000	1.000	0.000	0.000	0.000	117.000	24.000	1.000	117	24	1	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	391.000	33.000	1.000	0.000	0.000	0.000	391.000	33.000	1.000	391	33	1	1	1	1
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	305.000	36.000	1.100	0.281	0.099	0.301	305.000	36.000	1.100	304	35	1	3	3	2
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	268.000	40.000	1.000	0.199	0.111	0.249	268.000	40.000	1.000	267	39	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	354.000	40.000	1.000	0.000	0.000	0.000	354.000	40.000	1.000	354	40	1	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	121.000	42.000	1.000	0.000	0.000	0.000	121.000	42.000	1.000	121	42	1	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	295.000	49.000	1.000	0.000	0.000	0.000	295.000	49.000	1.000	295	49	1	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	298.000	50.000	1.000	0.000	0.000	0.000	298.000	50.000	1.000	298	50	1	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	431.000	59.000	1.000	0.000	0.000	0.000	431.000	59.000	1.000	431	59	1	1	1	1
0.386	3.633	16	16	16	1.000	0.000	1.000	1	1	425.000	62.250	1.500	0.348	0.099	0.344	425.000	62.250	1.500	424	61	1	3	3	3
2.675	19.193	111	109	125	1.126	0.333	1.000	1	2	431.694	66.000	1.432	0.810	0.325	0.782	431.704	65.920	1.384	426	61	1	11	12	3
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	353.000	73.000	1.000	0.199	0.111	0.249	353.000	73.000	1.000	352	72	1	3	3	1
0.145	1.905	6	6	6	1.000	0.000	1.000	1	1	180.833	93.167	1.000	0.227	0.092	0.252	180.833	93.167	1.000	180	92	1	3	3	1
0.169	2.557	7	6	7	1.000	0.000	1.000	1	1	256.000	93.000	2.000	0.296	0.073	0.249	256.000	93.000	2.000	255	92	1	3	3	3
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	188.000	99.000	1.000	0.199	0.111	0.249	188.000	99.000	1.000	187	98	1	3	3	1
0.217	2.610	9	9	9	1.000	0.000	1.000	1	1	326.111	104.000	1.222	0.283	0.089	0.289	326.111	104.000	1.222	325	103	1	3	3	2
4.218	21.360	175	135	308	1.760	1.222	1.000	1	7	326.800	113.063	2.097	0.887	0.257	0.870	326.743	113.188	1.799	322	110	1	11	10	5
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	319.000	113.000	1.100	0.281	0.099	0.301	319.000	113.000	1.100	318	112	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	244.000	135.000	1.100	0.281	0.099	0.301	244.000	135.000	1.100	243	134	1	3	3	2
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	267.000	135.000	1.000	0.199	0.111	0.249	267.000	135.000	1.000	266	134	1	3	3	1
0.265	2.857	11	11	11	1.000	0.000	1.000	1	1	237.909	140.000	1.182	0.296	0.091	0.320	237.909	140.000	1.182	237	139	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	289.000	146.000	1.100	0.281	0.099	0.301	289.000	146.000	1.100	288	145	1	3	3	2
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	392.000	148.000	1.000	0.199	0.111	0.249	392.000	148.000	1.000	391	147	1	3	3	1
0.169	2.099	7	7	7	1.000	0.000	1.000	1	1	0.429	156.000	1.143	0.251	0.083	0.276	0.429	156.000	1.143	0	155	1	2	3	2
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	260.000	156.000	1.000	0.199	0.111	0.249	260.000	156.000	1.000	259	155	1	3	3	1
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	333.100	161.100	1.100	0.296	0.114	0.298	333.100	161.100	1.100	332	160	1	3	3	2
0.482	4.445	20	20	24	1.200	0.410	1.000	1	2	242.600	163.600	1.300	0.372	0.103	0.388	242.583	163.583	1.250	241	162	1	4	4	2
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	510.000	169.000	1.000	0.000	0.000	0.000	510.000	169.000	1.000	510	169	1	1	1	1
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	262.000	171.000	1.000	0.199	0.111	0.249	262.000	171.000	1.000	261	170	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	396.000	187.000	1.000	0.000	0.000	0.000	396.000	187.000	1.000	396	187	1	1	1	1
4.411	25.717	183	152	271	1.481	0.851	1.000	1	6	398.770	194.869	2.016	0.948	0.309	0.938	399.100	194.624	1.779	393	189	1	12	11	6
0.193	2.346	8	8	8	1.000	0.000	1.000	1	1	394.500	191.000	1.000	0.263	0.095	0.278	394.500	191.000	1.000	393	190	1	4	3	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	273.000	194.000	1.000	0.000	0.000	0.000	273.000	194.000	1.000	273	194	1	1	1	1
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	496.000	197.000	1.000	0.199	0.111	0.249	496.000	197.000	1.000	495	196	1	3	3	1
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	287.000	201.000	1.000	0.199	0.111	0.249	287.000	201.000	1.000	286	200	1	3	3	1
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	421.000	204.000	1.000	0.199	0.111	0.249	421.000	204.000	1.000	420	203	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	303.000	204.000	1.000	0.000	0.000	0.000	303.000	204.000	1.000	303	204	1	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	293.000	206.000	1.000	0.000	0.000	0.000	293.000	206.000	1.000	293	206	1	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	376.000	229.000	1.000	0.000	0.000	0.000	376.000	229.000	1.000	376	229	1	1	1	1
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	326.000	239.000	1.100	0.281	0.099	0.301	326.000	239.000	1.100	325	238	1	3	3	2
0.337	3.439	14	14	15	1.071	0.267	1.000	1	2	349.000	257.000	1.357	0.318	0.068	0.353	349.000	257.000	1.333	348	256	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	407.000	259.000	1.100	0.281	0.099	0.301	407.000	259.000	1.100	406	258	1	3	3	2
0.193	2.487	8	8	8	1.000	0.000	1.000	1	1	351.000	268.875	1.250	0.275	0.084	0.281	351.000	268.875	1.250	350	268	1	3	3	2
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	427.000	274.000	1.000	0.000	0.000	0.000	427.000	274.000	1.000	427	274	1	1	1	1
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	505.000	305.000	1.000	0.199	0.111	0.249	505.000	305.000	1.000	504	304	1	3	3	1
0.121	1.781	5	5	5	1.000	0.000	1.000	1	1	509.000	307.000	1.000	0.199	0.111	0.249	509.000	307.000	1.000	508	306	1	3	3	1
0.241	2.664	10	10	10	1.000	0.000	1.000	1	1	495.000	312.000	1.100	0.281	0.099	0.301	495.000	312.000	1.100	494	311	1	3	3	2
0.145	1.905	6	6	6	1.000	0.000	1.000	1	1	497.833	322.167	1.000	0.227	0.092	0.252	497.833	322.167	1.000	497	321	1	3	3	1
0.217	2.276	9	9	9	1.000	0.000	1.000	1	1	492.000	323.000	1.000	0.267	0.112	0.249	492.000	323.000	1.000	491	322	1	3	3	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	450.000	329.000	1.000	0.000	0.000	0.000	450.000	329.000	1.000	450	329	1	1	1	1
0.289	3.051	12	12	13	1.083	0.289	1.000	1	2	475.083	333.083	1.250	0.306	0.082	0.315	475.077	333.077	1.231	474	332	1	3	3	2
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	0.000	459.000	1.000	0.000	0.000	0.000	0.000	459.000	1.000	0	459	1	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	116.000	33.000	2.000	0.000	0.000	0.000	116.000	33.000	2.000	116	33	2	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	170.000	69.000	2.000	0.000	0.000	0.000	170.000	69.000	2.000	170	69	2	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	461.000	97.000	2.000	0.000	0.000	0.000	461.000	97.000	2.000	461	97	2	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	237.000	148.000	2.000	0.000	0.000	0.000	237.000	148.000	2.000	237	148	2	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	403.000	207.000	2.000	0.000	0.000	0.000	403.000	207.000	2.000	403	207	2	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	466.000	248.000	2.000	0.000	0.000	0.000	466.000	248.000	2.000	466	248	2	1	1	1
0.169	2.557	7	6	7	1.000	0.000	1.000	1	1	429.000	265.000	3.000	0.296	0.073	0.249	429.000	265.000	3.000	428	264	2	3	3	3
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	428.000	270.000	2.000	0.000	0.000	0.000	428.000	270.000	2.000	428	270	2	1	1	1
0.048	0.899	2	2	2	1.000	0.000	1.000	1	1	419.000	274.000	2.500	0.195	0.000	0.195	419.000	274.000	2.500	419	274	2	1	1	2
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	472.000	274.000	2.000	0.000	0.000	0.000	472.000	274.000	2.000	472	274	2	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	498.000	297.000	3.000	0.000	0.000	0.000	498.000	297.000	3.000	498	297	3	1	1	1
0.121	1.922	5	5	5	1.000	0.000	1.000	1	1	511.000	490.000	4.000	0.255	0.159	0.249	511.000	490.000	4.000	511	489	3	1	3	3
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	403.000	57.000	4.000	0.000	0.000	0.000	403.000	57.000	4.000	403	57	4	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	341.000	104.000	4.000	0.000	0.000	0.000	341.000	104.000	4.000	341	104	4	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	249.000	179.000	4.000	0.000	0.000	0.000	249.000	179.000	4.000	249	179	4	1	1	1
0.145	2.116	6	6	6	1.000	0.000	1.000	1	1	511.000	317.167	4.833	0.294	0.133	0.312	511.000	317.167	4.833	511	316	4	1	3	3
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	419.000	262.000	5.000	0.000	0.000	0.000	419.000	262.000	5.000	419	262	5	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	356.000	282.000	5.000	0.000	0.000	0.000	356.000	282.000	5.000	356	282	5	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	489.000	322.000	5.000	0.000	0.000	0.000	489.000	322.000	5.000	489	322	5	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	428.000	63.000	6.000	0.000	0.000	0.000	428.000	63.000	6.000	428	63	6	1	1	1
0.072	1.287	3	3	3	1.000	0.000	1.000	1	1	312.000	220.000	7.000	0.260	0.225	0.390	312.000	220.000	7.000	312	220	6	1	1	3
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	380.000	246.000	6.000	0.000	0.000	0.000	380.000	246.000	6.000	380	246	6	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	484.000	331.000	6.000	0.000	0.000	0.000	484.000	331.000	6.000	484	331	6	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	326.000	108.000	7.000	0.000	0.000	0.000	326.000	108.000	7.000	326	108	7	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	253.000	178.000	7.000	0.000	0.000	0.000	253.000	178.000	7.000	253	178	7	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	326.000	226.000	7.000	0.000	0.000	0.000	326.000	226.000	7.000	326	226	7	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	355.000	273.000	7.000	0.000	0.000	0.000	355.000	273.000	7.000	355	273	7	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	229.000	134.000	8.000	0.000	0.000	0.000	229.000	134.000	8.000	229	134	8	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	494.000	299.000	8.000	0.000	0.000	0.000	494.000	299.000	8.000	494	299	8	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	435.000	314.000	9.000	0.000	0.000	0.000	435.000	314.000	9.000	435	314	9	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	435.000	328.000	9.000	0.000	0.000	0.000	435.000	328.000	9.000	435	328	9	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	386.000	43.000	11.000	0.000	0.000	0.000	386.000	43.000	11.000	386	43	11	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	287.000	241.000	11.000	0.000	0.000	0.000	287.000	241.000	11.000	287	241	11	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	110.000	10.000	12.000	0.000	0.000	0.000	110.000	10.000	12.000	110	10	12	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	390.000	194.000	12.000	0.000	0.000	0.000	390.000	194.000	12.000	390	194	12	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	366.000	251.000	12.000	0.000	0.000	0.000	366.000	251.000	12.000	366	251	12	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	116.000	39.000	13.000	0.000	0.000	0.000	116.000	39.000	13.000	116	39	13	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	311.000	79.000	13.000	0.000	0.000	0.000	311.000	79.000	13.000	311	79	13	1	1	1
0.096	1.798	4	4	4	1.000	0.000	1.000	1	1	271.500	199.500	13.500	0.263	0.000	0.263	271.500	199.500	13.500	271	199	13	2	2	2
0.048	0.829	2	2	2	1.000	0.000	1.000	1	1	395.500	273.000	13.000	0.124	0.000	0.124	395.500	273.000	13.000	395	273	13	2	1	1
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	240.000	148.000	15.000	0.382	0.086	0.390	240.000	148.000	15.000	239	147	14	3	3	3
0.048	0.829	2	2	2	1.000	0.000	1.000	1	1	253.000	187.500	14.000	0.124	0.000	0.124	253.000	187.500	14.000	253	187	14	1	2	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	353.000	270.000	14.000	0.000	0.000	0.000	353.000	270.000	14.000	353	270	14	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	496.000	332.000	14.000	0.000	0.000	0.000	496.000	332.000	14.000	496	332	14	1	1	1
0.024	0.511	1	1	1	1.000	0.000	1.000	1	1	110.000	31.000	15.000	0.000	0.000	0.000	110.000	31.000	15.000	110	31	15	1	1	1
