Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
68238.352	35943.609	2831318	349666	490973120	173.408	220.854	103	1	3263	219.736	313.338	14.729	45.477	16.939	45.666	215.622	281.968	11.977	0	94	1	512	418	27
945.999	3967.348	39251	27698	505078	12.868	59.425	3	1	2797	416.849	47.365	25.786	16.463	7.653	16.060	391.633	44.876	26.239	275	0	17	237	140	11
34.465	136.578	1430	890	81738	57.159	217.942	3	1	2405	191.881	497.863	24.958	2.540	1.041	2.450	189.252	501.115	25.851	174	480	18	38	32	10
186.014	848.849	7718	5688	90773	11.761	45.813	3	1	1274	37.666	35.518	25.862	6.817	2.552	7.033	49.849	35.630	26.263	0	0	20	84	75	8
237.952	1095.729	9873	7268	88856	9.000	20.150	3	1	468	133.974	17.654	25.902	9.773	5.126	9.206	125.255	17.555	26.361	46	0	22	173	53	6
46.323	206.246	1922	1398	20072	10.443	25.525	3	1	387	257.270	18.806	25.866	4.092	1.922	4.191	254.274	17.926	26.355	230	0	22	56	39	6
43.671	209.860	1812	1371	13772	7.600	13.635	3	1	145	445.887	198.894	25.990	3.233	1.499	3.170	444.922	198.207	26.413	425	182	22	49	36	6
25.933	135.104	1076	844	6567	6.103	11.519	2	1	124	399.542	105.931	26.094	3.465	1.470	3.456	399.814	112.153	26.439	389	82	23	26	52	5
107.082	513.976	4443	3377	34542	7.774	14.405	3	1	186	476.107	158.451	25.992	6.048	2.127	5.930	475.899	156.877	26.422	433	128	23	79	62	5
27.909	131.042	1158	857	12630	10.907	24.007	3	1	252	12.639	173.633	25.843	2.801	1.051	2.745	9.187	172.795	26.309	0	157	23	31	31	5
26.053	140.911	1081	881	6299	5.827	11.547	2	1	116	485.876	240.409	26.149	3.331	1.617	3.276	485.734	240.926	26.447	467	212	23	33	50	5
29.596	145.605	1228	988	6958	5.666	10.570	2	1	101	114.226	91.878	26.143	3.191	1.208	3.209	113.071	90.541	26.462	101	69	24	31	45	4
