Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
41345.680	22430.693	1715498	238630	721509312	420.583	488.770	262	1	4048	291.470	264.736	10.149	43.052	19.150	42.269	297.839	265.776	9.569	0	79	1	512	433	20
114.192	314.736	4738	2408	69748	14.721	25.617	3	1	219	251.046	314.940	2.968	3.665	1.428	3.589	251.726	316.247	1.805	234	289	1	39	50	9
319.607	499.709	13261	3481	2844106	214.471	631.737	8	1	4083	56.909	365.569	8.683	4.344	0.776	4.390	57.128	364.828	12.372	34	346	1	47	42	20
117.542	393.868	4877	2696	539286	110.577	214.931	7	1	1435	11.433	502.736	7.343	3.806	1.378	3.642	7.042	508.516	8.234	0	474	1	32	38	20
40.080	111.471	1663	656	121652	73.152	220.227	4	1	2226	430.143	137.364	13.160	2.098	0.397	2.094	430.103	137.832	14.593	421	129	6	19	18	15
24.366	80.658	1011	459	46239	45.736	122.920	4	1	1123	209.964	22.873	13.698	1.818	0.422	1.799	209.940	22.816	14.558	203	15	7	15	16	14
25.620	72.003	1063	440	67889	63.865	173.625	6	1	1401	25.172	273.070	13.674	1.845	0.415	1.791	25.295	273.440	15.096	19	266	7	13	14	14
49.769	148.401	2065	861	67106	32.497	95.600	3	1	1049	235.918	416.999	14.372	2.220	0.477	2.225	234.778	416.246	15.019	225	406	7	23	24	14
25.089	128.526	1041	691	3132	3.009	4.968	1	1	46	269.960	354.618	14.995	2.236	0.781	2.293	267.745	352.622	15.125	257	342	12	29	26	8
31.042	125.675	1288	712	4131	3.207	3.791	2	1	31	177.024	491.747	15.126	2.037	0.716	2.116	177.423	491.352	15.171	164	480	12	25	23	8
