Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
4219	2394	4219	1478	29533	7	0	7	7	7	463.838	14.026	8.448	10.245	2.634	10.268	463.838	14.026	8.448	453	6	1	28	19	22
2782	1680	2782	1003	41730	15	0	15	15	15	468.898	26.714	8.358	8.796	1.914	8.775	468.901	26.714	8.358	456	19	1	22	16	21
6096	2646	6096	1632	85344	14	0	14	14	14	441.836	37.679	6.952	11.239	1.977	11.424	441.842	37.679	6.952	429	24	1	26	28	17
2140	1346	2140	826	17120	8	0	8	8	8	393.915	84.675	5.458	8.012	1.777	7.788	393.915	84.675	5.458	383	75	1	18	21	13
4522	2446	4522	1460	45220	10	0	10	10	10	408.632	86.111	10.164	10.246	2.254	10.458	408.632	86.111	10.164	395	75	1	23	22	24
2098	1526	2098	877	18882	9	0	9	9	9	387.039	107.092	4.308	8.113	2.156	8.129	387.039	107.092	4.308	376	98	1	25	22	11
7220	3100	7220	1954	79420	11	0	11	11	11	371.122	131.662	7.385	11.388	2.718	12.124	371.139	131.662	7.385	357	120	1	28	26	18
15038	4566	15038	2919	255646	17	0	17	17	17	294.982	198.915	12.371	15.228	1.867	15.118	294.961	198.915	12.371	280	185	1	31	34	29
9751	3474	9751	2032	243775	25	0	25	25	25	317.499	192.475	19.177	13.223	2.134	13.021	317.487	192.475	19.177	306	180	1	26	25	31
14176	4246	14176	2610	283520	20	0	20	20	20	215.837	271.617	12.895	14.765	1.394	14.518	215.837	271.617	12.895	202	259	1	29	28	29
5317	2560	5317	1724	63804	12	0	12	12	12	9.957	364.236	5.993	10.676	2.400	11.254	9.957	364.236	5.993	0	351	1	25	27	14
5203	2978	5203	1784	208120	40	0	40	40	40	33.466	345.795	23.944	11.629	3.631	11.427	33.466	345.795	23.944	20	331	1	26	26	31
2970	2196	2970	1151	98010	33	0	33	33	33	245.523	258.880	19.187	9.455	2.776	9.516	245.519	258.880	19.187	233	248	8	22	23	22
2516	1778	2516	933	60384	24	0	24	24	24	37.512	361.738	16.578	8.585	2.324	8.586	37.512	361.738	16.578	27	353	8	23	17	19
7108	2886	7108	1575	255888	36	0	36	36	36	474.351	41.904	22.964	11.608	1.772	11.533	474.328	41.904	22.964	461	30	10	29	25	22
13559	5106	13559	3123	515242	38	0	38	38	38	60.442	339.981	24.638	14.963	3.843	15.662	60.442	339.981	24.638	43	319	11	35	41	21
9096	3346	9096	2042	309264	34	0	34	34	34	15.154	364.461	24.135	12.828	2.042	13.131	15.154	364.461	24.135	0	351	11	31	28	21
5079	2446	5079	1498	157449	31	0	31	31	31	361.490	142.906	24.999	10.905	2.625	11.002	361.499	142.906	24.999	346	131	16	27	29	16
4055	2290	4055	1256	105430	26	0	26	26	26	190.573	283.684	24.419	9.369	2.135	9.734	190.573	283.684	24.419	179	274	16	24	20	16
1845	1072	1845	705	71955	39	0	39	39	39	353.538	153.538	25.747	7.390	1.193	7.276	353.542	153.538	25.747	345	148	17	16	13	15
1287	1052	1287	540	47619	37	0	37	37	37	340.375	178.142	25.178	6.816	1.755	6.741	340.375	178.142	25.178	333	171	21	18	21	10
