Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
11339	3760	11339	2333	68034	6	0	6	6	6	191.557	152.797	8.876	13.661	2.035	14.316	191.557	152.797	8.876	177	138	1	31	31	19
7672	4202	7672	2367	61376	8	0	8	8	8	241.761	217.480	8.573	11.876	2.995	12.206	241.761	217.480	8.573	228	204	1	31	29	18
4344	2522	4344	1523	8688	2	0	2	2	2	249.803	260.226	4.834	10.625	2.851	11.016	249.803	260.226	4.834	238	246	1	27	29	12
1909	1854	1909	1016	1909	1	0	1	1	1	248.012	291.701	4.429	9.077	2.753	8.866	248.012	291.701	4.429	237	283	1	25	24	11
5650	2502	5650	1625	22600	4	0	4	4	4	63.779	349.078	5.060	11.321	2.757	11.884	63.779	349.078	5.060	49	335	1	31	29	12
9729	3456	9729	2084	68103	7	0	7	7	7	94.721	354.298	8.575	13.100	2.143	13.182	94.721	354.298	8.575	79	340	1	34	28	19
1805	1602	1805	779	16245	9	0	9	9	9	83.936	377.421	10.524	8.043	2.308	8.316	83.936	377.421	10.524	73	367	5	21	21	13
4106	2898	4106	1939	45166	11	0	11	11	11	193.679	148.378	23.811	12.448	4.663	12.493	193.679	148.378	23.811	177	128	19	38	40	8
7067	4630	7067	3290	155474	22	0	22	22	22	250.387	212.685	23.877	15.750	5.758	16.249	250.393	212.685	23.877	228	186	19	49	56	8
1055	868	1055	550	17935	17	0	17	17	17	100.236	357.044	23.597	6.683	2.189	6.507	100.236	357.044	23.597	96	345	20	11	23	7
1525	1250	1525	795	22875	15	0	15	15	15	88.302	355.470	23.803	7.934	2.737	7.775	88.302	355.470	23.803	76	343	21	20	28	6
1038	1202	1038	673	43596	42	0	42	42	42	280.893	307.234	24.232	7.484	3.041	7.353	280.893	307.234	24.232	265	299	22	28	21	5
