Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
67051.172	27771.682	2782060	307174	3575568640.000	1285.223	1129.957	961.000	10	4071	306.883	345.070	13.833	38.972	14.794	39.811	302.430	353.810	15.412	0	152	1	512	360	26
67.315	146.027	2793	1013	1461681.000	523.337	981.435	78.000	10	4093	20.115	221.693	21.282	2.619	0.647	2.499	20.632	221.087	23.409	10	208	13	20	31	14
49.504	119.521	2054	815	920268.000	448.037	787.276	102.500	10	4041	494.228	132.622	22.408	2.422	0.779	2.337	495.953	130.779	24.018	477	123	15	27	21	12
148.874	365.125	6177	2635	2799916.000	453.281	793.769	85.000	10	4018	349.388	491.981	22.704	3.926	1.397	3.702	351.723	491.701	24.065	323	471	15	53	41	12
30.078	75.182	1248	520	410511.000	328.935	459.908	106.000	10	2424	446.713	108.145	22.655	1.859	0.334	1.871	446.554	107.629	23.816	437	100	17	17	17	10
97.731	263.973	4055	1842	1389089.000	342.562	572.355	76.000	10	3009	308.596	466.512	23.224	3.540	1.407	3.422	308.424	462.345	24.209	291	448	17	32	51	10
84.113	235.089	3490	1706	707564.000	202.740	352.348	63.000	10	2679	67.635	311.951	23.668	3.067	1.097	3.160	66.919	307.584	24.313	53	299	18	36	33	9
25.499	97.902	1058	623	224490.000	212.183	436.023	42.000	10	2647	318.181	381.136	23.777	2.104	0.872	1.895	318.960	382.747	24.140	309	364	18	18	33	9
27.668	86.222	1148	570	322451.000	280.881	452.527	83.000	10	2478	362.078	465.874	23.296	2.005	0.650	2.076	361.359	465.738	24.364	352	458	18	24	16	9
36.610	114.843	1519	829	232442.000	153.023	240.872	60.000	10	2188	23.811	170.714	24.018	2.358	0.854	2.438	23.709	169.031	24.757	10	158	19	28	28	8
40.587	150.467	1684	1010	185876.000	110.378	165.704	49.000	10	1303	36.985	211.233	24.235	2.952	1.229	3.073	36.838	212.960	24.807	20	190	20	35	39	7
28.946	110.917	1201	722	172216.000	143.394	230.858	53.000	10	1751	132.250	232.241	24.037	2.768	1.134	2.729	130.004	231.738	24.598	112	223	20	39	20	7
116.963	407.019	4853	2876	422368.000	87.032	119.444	44.000	10	1465	40.383	349.697	24.386	4.514	1.811	4.412	41.781	351.589	24.892	19	319	20	49	63	7
