Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.337	3.475	14	14	3513	250.929	36.297	248.000	204	305	301.000	209.500	1.000	0.361	0.138	0.373	300.982	209.496	1.000	299	208	1	5	4	1
0.337	3.475	14	14	3456	246.857	42.667	229.500	200	314	243.000	213.714	1.000	0.357	0.139	0.362	243.044	213.682	1.000	241	212	1	5	4	1
0.241	2.981	10	10	2239	223.900	16.169	223.500	202	243	298.500	215.300	1.000	0.365	0.185	0.380	298.505	215.303	1.000	296	214	1	6	3	1
0.313	3.158	13	13	5015	385.769	151.147	356.000	203	693	202.615	216.615	1.000	0.335	0.115	0.377	202.756	216.676	1.000	201	215	1	4	4	1
0.337	3.863	14	14	3416	244.000	31.113	240.000	200	307	217.786	218.714	1.000	0.465	0.242	0.449	217.765	218.670	1.000	217	216	1	3	7	1
0.362	4.181	15	15	3197	213.133	10.696	211.000	200	229	277.200	219.533	1.000	0.427	0.208	0.430	277.169	219.534	1.000	274	218	1	7	4	1
0.362	3.793	15	15	3573	238.200	29.472	226.000	200	298	285.200	224.600	1.000	0.378	0.153	0.401	285.177	224.629	1.000	283	222	1	5	5	1
0.241	2.787	10	10	2547	254.700	47.502	231.500	200	313	314.300	238.700	1.000	0.299	0.110	0.332	314.329	238.700	1.000	313	237	1	4	4	1
48.709	233.158	2021	1277	515164	254.905	57.989	236.000	200	628	286.897	9.454	9.407	2.384	0.678	2.443	287.187	9.213	9.330	276	0	2	23	21	16
6.700	40.690	278	250	80943	291.162	64.911	284.000	200	500	428.644	1.946	9.935	1.600	0.776	1.513	428.615	2.028	9.746	424	0	2	11	4	16
2.145	18.459	89	86	22069	247.966	36.447	240.000	200	353	351.011	24.921	7.506	1.259	0.657	1.123	350.997	24.927	7.514	349	23	2	5	6	14
0.747	6.682	31	31	6922	223.290	18.028	220.000	201	269	269.387	28.484	4.065	0.560	0.248	0.518	269.372	28.498	4.020	268	28	2	4	2	6
1.253	9.239	52	45	12845	247.019	30.777	240.000	201	325	290.115	29.269	3.981	0.681	0.286	0.586	290.137	29.296	3.909	289	28	2	3	4	7
2.458	19.007	102	88	24237	237.618	39.192	224.000	200	365	273.412	40.529	5.363	1.028	0.424	1.008	273.628	40.467	5.174	269	39	2	9	5	9
0.289	3.527	12	12	2569	214.083	7.937	214.000	201	225	353.667	42.000	3.000	0.376	0.182	0.399	353.671	41.990	2.987	353	41	2	2	3	4
