Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
191.750	619.743	7956	3953	2753496	346.090	129.163	309.000	200	1025	414.561	90.397	19.123	5.183	1.942	5.218	414.494	90.518	19.713	381	78	1	64	24	30
1.422	10.155	59	52	17475	296.186	67.080	281.000	200	457	461.932	82.915	3.627	0.761	0.345	0.701	461.899	82.931	3.427	461	81	1	3	4	8
1.542	12.499	64	57	17030	266.094	50.529	264.500	200	384	472.891	91.297	6.031	1.031	0.551	0.856	472.861	91.314	5.819	472	90	1	3	3	11
52.011	202.116	2158	1244	673231	311.970	98.897	286.000	200	866	481.873	92.948	16.589	3.401	1.457	3.316	481.916	92.866	16.206	472	86	1	20	20	30
159.237	532.000	6607	3279	2377223	359.804	168.456	304.000	200	1277	322.840	101.808	18.873	4.706	1.703	4.712	323.370	101.191	18.680	302	91	1	51	32	30
49.311	173.888	2046	1065	814470	398.079	230.678	301.000	200	1387	504.194	99.552	19.078	2.980	1.319	2.817	504.700	100.333	20.254	495	90	1	17	17	30
24.005	111.669	996	655	330175	331.501	130.103	288.000	200	865	358.451	101.040	15.305	3.017	1.500	3.010	358.484	100.933	15.145	353	95	1	14	13	30
1.012	8.675	42	39	10786	256.810	46.261	239.500	200	353	491.000	103.690	3.714	0.697	0.345	0.598	491.039	103.693	3.641	489	103	1	4	3	8
0.988	9.079	41	41	11096	270.634	49.230	268.000	202	350	510.463	107.488	5.707	0.898	0.504	0.910	510.494	107.503	5.771	509	106	1	3	3	10
5.447	36.371	226	191	63859	282.562	71.787	265.500	200	507	260.867	118.080	14.150	2.837	1.445	2.798	260.959	118.052	14.811	258	116	1	6	5	27
7.399	32.776	307	224	113209	368.759	151.556	320.000	200	823	1.130	135.000	5.902	1.466	0.641	1.402	1.017	134.988	5.017	0	131	1	4	9	14
0.675	7.598	28	25	6923	247.250	43.632	233.000	200	355	354.964	135.893	4.250	0.697	0.352	0.718	354.969	135.896	4.273	354	135	1	3	3	8
175.481	573.572	7281	3692	2519421	346.027	138.948	301.000	200	1039	382.774	168.655	13.445	5.723	2.221	5.889	381.828	168.817	12.928	348	162	1	73	19	30
2.193	15.444	91	81	23449	257.681	50.385	241.000	200	387	479.022	162.099	7.154	1.073	0.580	0.906	479.047	162.046	7.146	478	160	1	3	5	13
47.287	179.722	1962	1071	674672	343.870	173.648	284.000	200	1130	433.477	171.720	13.875	3.020	1.286	2.870	434.324	172.390	13.896	423	163	1	20	15	30
0.627	6.559	26	26	5913	227.423	24.865	219.500	200	278	419.154	165.692	3.269	0.681	0.362	0.629	419.134	165.695	3.189	418	165	1	3	2	7
2.892	21.227	120	106	28593	238.275	34.369	230.000	200	330	496.925	176.275	6.975	1.475	0.771	1.348	497.028	176.286	6.671	494	175	1	6	4	15
0.530	5.466	22	22	5122	232.818	25.712	231.500	200	287	488.318	178.091	2.818	0.536	0.274	0.480	488.304	178.060	2.773	488	177	1	2	3	6
0.723	7.017	30	30	7031	234.367	23.684	229.000	200	281	469.567	179.867	3.933	0.664	0.340	0.638	469.572	179.894	3.932	469	179	1	2	3	7
11.038	58.586	458	323	133479	291.439	81.323	268.000	200	547	479.878	179.862	10.245	1.877	0.959	1.685	479.964	180.003	10.019	475	174	1	11	11	20
5.664	36.625	235	197	64256	273.430	86.960	243.000	200	713	495.349	185.098	3.264	1.327	0.576	1.234	494.918	185.238	3.200	489	181	1	18	8	9
0.362	4.637	15	15	3437	229.133	22.113	230.000	200	260	330.733	188.267	3.467	0.592	0.355	0.604	330.761	188.269	3.393	330	188	1	2	2	7
0.386	3.774	16	16	4017	251.062	36.246	249.000	205	323	322.688	190.500	1.812	0.379	0.127	0.381	322.689	190.507	1.761	321	190	1	4	2	3
0.386	4.108	16	16	4262	266.375	45.349	265.500	202	349	310.438	193.688	2.375	0.461	0.229	0.441	310.439	193.690	2.261	310	193	1	2	3	5
38.297	95.429	1589	629	654199	411.705	228.850	340.000	200	1644	139.219	205.681	7.301	2.311	0.755	2.329	139.079	205.516	6.136	134	196	1	12	18	19
0.964	7.581	40	37	11260	281.500	64.893	266.000	200	444	275.950	202.275	3.175	0.653	0.273	0.605	275.898	202.290	2.994	275	201	1	3	3	6
35.887	119.326	1489	761	636387	427.392	276.026	318.000	200	1710	288.568	207.913	8.933	2.480	0.914	2.463	289.441	207.715	7.617	279	202	1	19	13	21
0.241	3.015	10	10	2258	225.800	19.430	222.500	206	265	148.600	210.300	2.000	0.384	0.190	0.417	148.618	210.285	1.974	148	210	1	2	2	4
29.428	117.740	1221	685	352304	288.537	76.535	265.000	200	643	263.059	230.632	8.097	2.193	0.821	2.202	263.115	230.668	8.032	254	226	1	22	10	20
2.217	15.374	92	79	26468	287.696	72.250	269.500	200	461	262.924	238.707	6.033	0.971	0.485	0.856	262.982	238.657	5.957	261	237	1	4	5	11
1.422	10.614	59	53	17543	297.339	71.514	289.000	200	457	422.898	242.288	4.119	0.858	0.415	0.859	422.912	242.316	3.928	422	241	1	3	4	9
6.001	37.347	249	200	59740	239.920	33.111	229.000	200	342	417.414	249.036	3.361	1.181	0.437	1.166	417.412	249.018	3.260	413	244	1	10	13	11
0.458	4.355	19	19	4636	244.000	34.831	228.000	204	321	404.895	245.579	2.053	0.420	0.173	0.436	404.892	245.585	2.015	404	245	1	3	3	4
0.337	3.720	14	14	3330	237.857	27.169	242.500	201	279	410.214	245.643	2.000	0.382	0.169	0.414	410.242	245.638	1.939	409	245	1	3	2	4
4.507	23.731	187	126	69186	369.979	145.270	326.000	200	775	425.786	249.246	5.353	1.221	0.530	1.132	425.832	249.221	4.954	424	247	1	5	6	12
5.953	34.839	247	187	61048	247.158	39.404	239.000	200	362	254.798	247.628	6.356	1.220	0.494	1.175	254.717	247.663	6.341	251	244	1	9	7	13
9.158	53.385	380	281	104993	276.297	67.780	256.000	200	481	267.637	255.437	8.597	1.874	0.911	1.787	267.624	255.128	8.104	265	251	1	8	11	20
3.326	22.618	138	115	34176	247.652	35.552	240.000	200	347	234.464	252.000	8.971	1.545	0.857	1.573	234.463	252.002	8.906	233	250	1	4	4	18
0.603	6.030	25	22	6774	270.960	62.450	263.000	202	433	136.080	254.000	2.400	0.523	0.191	0.596	136.072	254.010	2.304	135	253	1	3	3	5
1.808	13.190	75	65	18159	242.120	34.623	234.000	200	363	404.173	262.733	2.360	0.739	0.233	0.714	404.155	262.725	2.278	402	258	1	5	8	5
34.875	146.831	1447	838	451221	311.832	116.695	276.000	200	823	285.760	265.022	11.991	2.807	1.115	2.777	286.924	265.053	11.014	269	259	1	28	12	26
0.241	2.751	10	10	2263	226.300	22.500	218.500	204	275	393.600	262.700	1.600	0.312	0.105	0.282	393.609	262.703	1.571	393	262	1	2	3	3
1.181	10.403	49	46	11405	232.755	26.444	228.000	200	302	418.347	264.878	3.776	0.801	0.373	0.767	418.332	264.883	3.698	417	263	1	4	5	8
2.482	16.716	103	81	30708	298.136	90.790	266.000	200	547	397.000	269.155	2.961	0.865	0.294	0.834	396.938	269.060	2.800	395	267	1	6	7	7
66.254	271.208	2749	1672	767070	279.036	78.143	254.000	200	783	422.939	277.637	7.494	3.186	1.295	3.108	423.397	277.721	7.171	406	269	1	42	19	20
3.133	18.108	130	104	35837	275.669	70.800	254.000	200	479	285.554	272.331	3.977	1.015	0.411	0.971	285.469	272.347	3.760	283	271	1	7	4	10
1.301	11.389	54	51	12562	232.630	27.921	225.000	202	305	277.222	270.426	6.222	0.903	0.478	0.875	277.208	270.426	6.270	276	269	1	3	4	11
17.401	78.507	722	441	230239	318.891	114.867	283.000	200	809	301.456	275.990	11.051	2.186	1.088	2.004	301.781	276.071	10.807	296	271	1	12	9	24
0.578	6.505	24	24	5862	244.250	29.637	243.500	203	300	143.667	277.375	5.083	0.731	0.430	0.763	143.693	277.363	5.119	143	277	1	2	2	9
0.337	4.108	14	14	3109	222.071	20.246	219.500	200	266	260.214	281.643	2.429	0.464	0.235	0.438	260.208	281.654	2.378	259	281	1	3	2	5
1.060	10.420	44	40	10516	239.000	35.233	231.500	201	327	343.000	287.295	5.614	0.805	0.409	0.697	342.984	287.281	5.578	342	286	1	3	4	10
7.712	45.927	320	243	79773	249.291	36.894	242.500	200	362	497.100	294.225	12.725	2.401	1.330	2.241	497.058	294.240	12.475	494	291	1	8	7	26
15.087	70.890	626	427	181263	289.557	70.208	273.500	200	514	507.011	295.899	10.976	2.124	1.020	1.991	507.185	295.797	10.656	501	292	1	11	9	23
1.326	11.459	55	48	12863	233.873	26.690	229.000	200	295	461.509	87.855	6.655	0.899	0.456	0.835	461.516	87.836	6.635	460	87	2	4	3	10
17.353	70.519	720	401	288262	400.364	200.796	326.000	200	1106	449.388	90.460	16.275	2.516	1.303	2.341	449.214	90.298	15.857	446	87	2	9	8	29
0.241	3.350	10	10	2091	209.100	4.383	209.500	201	214	428.600	98.000	4.500	0.528	0.294	0.593	428.599	98.000	4.505	428	98	2	2	1	6
5.591	34.344	232	173	59010	254.353	48.362	237.500	200	392	463.474	175.922	10.560	1.465	0.722	1.412	463.349	175.941	10.512	460	174	2	10	5	17
1.205	10.490	50	47	12534	250.680	38.936	245.000	201	330	453.500	176.720	6.740	0.941	0.477	0.908	453.490	176.720	6.737	452	176	2	4	3	10
1.759	14.933	73	72	16874	231.151	24.642	226.000	200	293	378.740	154.521	9.411	0.933	0.506	0.887	378.717	154.525	9.428	376	154	3	6	3	12
17.377	68.265	721	378	286726	397.678	223.268	312.000	200	1264	144.207	254.828	14.025	2.246	1.151	2.067	144.322	255.073	13.905	140	249	3	8	11	27
1.205	10.102	50	47	11423	228.460	23.951	218.500	201	287	470.840	296.720	7.600	0.841	0.455	0.682	470.829	296.719	7.603	470	296	3	3	3	10
0.868	7.986	36	36	8478	235.500	17.967	235.000	205	264	347.250	172.611	7.750	0.780	0.416	0.719	347.272	172.612	7.783	346	172	4	3	2	9
0.530	6.118	22	22	5103	231.955	21.879	229.000	201	276	294.364	197.318	8.000	0.715	0.399	0.789	294.346	197.302	7.998	294	197	4	2	2	8
0.506	5.148	21	21	4833	230.143	17.176	229.000	200	260	278.524	219.619	7.333	0.585	0.320	0.555	278.521	219.637	7.334	278	219	4	2	2	7
0.675	7.511	28	27	6042	215.786	12.121	214.000	200	246	446.893	288.000	6.750	0.580	0.281	0.548	446.882	287.987	6.736	445	287	4	4	4	7
0.434	5.536	18	18	4040	224.444	24.651	213.500	203	273	299.056	355.278	7.611	0.626	0.372	0.583	299.051	355.262	7.612	298	355	4	3	2	8
3.519	25.810	146	133	34156	233.945	28.851	227.000	200	329	270.952	280.959	11.733	1.402	0.709	1.329	270.898	281.000	11.823	269	279	5	6	6	15
1.398	11.724	58	52	14977	258.224	43.314	245.500	202	367	460.966	293.724	10.172	0.947	0.507	0.886	460.951	293.731	10.198	460	293	5	3	3	11
0.964	12.553	40	40	8307	207.675	6.078	207.500	200	222	364.600	159.425	13.475	1.255	0.841	1.004	364.602	159.424	13.469	363	158	6	5	3	17
0.313	4.566	13	13	2994	230.308	30.998	219.000	200	287	153.231	195.000	9.308	0.610	0.431	0.513	153.213	195.001	9.298	153	194	6	2	3	8
2.748	20.098	114	100	26782	234.930	25.589	229.500	200	299	287.439	199.096	14.535	1.476	0.817	1.400	287.437	199.087	14.551	286	197	6	4	4	17
13.979	73.643	580	404	154165	265.802	59.362	247.000	200	497	276.207	273.588	20.502	2.427	1.169	2.217	276.486	273.749	20.769	268	269	6	16	10	25
0.265	3.473	11	11	2344	213.091	9.914	210.000	201	229	495.364	181.182	9.091	0.452	0.242	0.437	495.357	181.172	9.108	495	181	7	2	2	5
1.832	14.368	76	64	21974	289.132	66.586	283.000	200	452	273.947	285.592	12.750	1.122	0.576	1.105	273.933	285.597	12.691	273	284	7	3	4	12
0.337	4.249	14	14	3041	217.214	15.778	213.000	201	243	400.214	82.357	10.214	0.526	0.289	0.494	400.201	82.347	10.198	400	82	8	2	2	6
0.651	6.118	27	27	6424	237.926	21.433	234.000	204	280	413.519	264.444	12.074	0.710	0.388	0.770	413.529	264.424	12.125	413	264	8	2	2	8
35.212	110.954	1461	680	747932	511.932	288.552	417.000	200	1440	222.431	330.333	22.060	2.542	0.981	2.511	222.274	330.419	22.626	216	324	8	16	12	23
4.290	29.036	178	149	44052	247.483	39.628	240.000	200	358	483.242	296.685	17.831	1.637	0.894	1.563	483.247	296.645	18.046	481	295	9	5	5	19
0.819	7.986	34	34	8529	250.853	35.295	242.500	204	328	209.647	137.529	14.265	0.802	0.450	0.707	209.667	137.532	14.214	209	137	10	3	2	10
1.229	11.988	51	51	11357	222.686	16.573	220.000	200	262	370.686	157.706	16.392	1.050	0.585	1.023	370.695	157.714	16.378	369	157	10	4	2	12
4.435	26.639	184	148	46899	254.886	49.008	243.500	200	432	474.130	171.957	18.457	1.502	0.842	1.392	474.110	171.861	18.723	473	169	10	4	7	18
1.326	11.389	55	50	12178	221.418	15.594	223.000	200	249	239.255	260.709	15.291	0.866	0.466	0.750	239.267	260.710	15.328	238	259	10	3	4	11
0.362	4.443	15	15	3429	228.600	22.180	226.000	201	272	237.733	343.333	12.333	0.539	0.279	0.550	237.747	343.315	12.335	237	343	10	2	2	6
0.530	5.836	22	22	4620	210.000	10.076	207.000	200	237	265.545	212.364	13.455	0.526	0.249	0.517	265.540	212.355	13.438	264	212	11	4	2	6
7.929	46.773	329	254	103988	316.073	114.626	274.000	200	751	146.951	215.739	21.708	1.694	0.875	1.530	147.024	215.443	21.753	143	212	11	8	10	20
0.482	4.760	20	20	4463	223.150	13.108	226.000	203	242	254.500	260.450	13.250	0.542	0.272	0.518	254.498	260.448	13.230	254	260	11	2	2	6
3.543	24.664	147	123	36122	245.728	42.209	234.000	200	360	227.497	268.687	20.279	1.480	0.853	1.343	227.491	268.768	20.285	226	266	11	4	5	20
0.964	9.203	40	40	9501	237.525	23.688	237.000	203	289	488.600	101.950	17.000	0.863	0.489	0.821	488.615	101.909	16.939	488	101	12	2	4	11
4.652	28.050	193	142	50419	261.238	61.628	238.000	200	450	497.927	169.130	18.497	1.289	0.600	1.128	498.053	169.181	18.616	495	166	12	6	6	15
