Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1153.825	1673.526	47874	10903	22266122	465.098	331.816	345.000	200	3014	205.393	40.466	24.691	8.505	2.788	8.784	203.003	42.384	23.642	187	0	1	56	92	49
3425.949	5115.851	142148	32397	61122104	429.989	315.133	321.000	200	3750	246.191	182.747	24.956	12.585	5.002	12.560	243.237	179.791	24.446	185	114	1	114	187	49
3350.680	4079.873	139025	26807	70558520	507.524	424.911	346.000	200	3258	219.603	386.445	30.747	10.998	4.070	10.841	215.864	390.377	30.567	181	311	2	96	150	48
3.302	20.839	137	106	35204	256.964	40.189	248.000	200	359	220.518	208.839	12.650	1.317	0.664	1.336	220.532	208.864	12.603	219	206	6	4	6	14
0.578	5.201	24	24	5331	222.125	14.329	222.000	200	247	238.500	458.000	12.000	0.488	0.220	0.479	238.500	457.990	12.008	238	457	10	2	3	5
11.087	40.939	460	242	145529	316.367	112.534	283.000	200	704	255.898	118.985	18.363	1.561	0.626	1.497	255.926	118.865	18.096	253	116	11	7	7	16
6.242	37.064	259	179	59756	230.718	26.277	224.000	200	310	236.293	429.390	16.151	1.462	0.533	1.475	236.385	429.425	16.245	229	426	11	13	8	12
2.290	15.781	95	78	21325	224.474	19.324	221.000	200	275	225.032	504.200	14.937	0.844	0.331	0.827	225.020	504.250	14.957	223	500	11	4	8	9
1.085	10.560	45	45	10312	229.156	20.836	226.000	200	274	233.422	510.711	16.178	0.845	0.502	0.740	233.434	510.726	16.215	232	510	11	4	2	11
496.679	770.122	20608	4801	6519532	316.359	129.099	285.000	200	1740	259.021	103.894	28.514	5.499	1.854	5.766	259.761	102.778	28.648	229	83	12	57	40	38
0.627	5.519	26	24	5946	228.692	18.415	228.000	201	267	211.077	92.385	15.192	0.499	0.193	0.471	211.081	92.398	15.206	210	91	13	3	3	5
2.410	15.093	100	73	23581	235.810	27.696	225.000	200	311	223.950	417.610	17.290	0.903	0.377	0.820	223.957	417.636	17.251	222	416	13	5	4	9
0.241	2.627	10	10	2050	205.000	3.682	205.000	200	212	257.500	20.400	15.200	0.320	0.121	0.350	257.497	20.396	15.194	257	20	14	2	2	3
2.290	15.286	95	73	20781	218.747	13.027	218.000	200	249	265.400	38.053	18.253	0.913	0.419	0.842	265.413	38.056	18.266	263	36	14	5	5	10
13.208	53.407	548	308	137384	250.701	44.595	240.000	200	417	285.142	271.695	21.146	1.725	0.784	1.527	285.321	271.749	21.048	280	267	14	11	9	18
77.196	204.647	3203	1230	1400520	437.253	278.718	326.000	200	1660	283.144	304.008	24.532	3.259	1.269	3.100	283.494	303.072	24.207	274	286	14	18	39	29
0.964	7.705	40	38	9266	231.650	23.107	224.500	202	280	270.600	42.475	17.600	0.596	0.237	0.580	270.605	42.485	17.610	270	41	15	3	4	6
3.350	16.927	139	92	33012	237.496	30.243	228.000	200	324	251.921	19.849	18.986	0.916	0.289	0.930	251.911	19.854	19.007	250	17	16	5	6	8
0.747	6.612	31	25	6722	216.839	13.612	214.000	200	249	234.968	398.484	18.806	0.534	0.181	0.538	234.965	398.480	18.808	234	397	17	3	4	5
23.692	77.617	983	449	261376	265.896	60.168	248.000	200	487	204.108	469.989	25.506	1.940	0.675	1.863	204.141	469.810	25.729	199	463	17	10	17	18
0.289	3.209	12	12	2546	212.167	10.573	208.500	200	230	290.500	239.333	19.500	0.378	0.168	0.285	290.509	239.319	19.500	290	239	18	2	2	4
261.306	574.211	10842	3536	2853092	263.152	51.454	253.000	200	611	244.642	37.916	34.712	4.614	1.404	4.751	244.764	38.004	34.791	225	9	19	34	61	31
0.482	5.007	20	17	4413	220.650	12.542	218.500	202	252	270.850	50.150	21.000	0.445	0.161	0.445	270.842	50.152	20.988	270	49	19	3	3	5
0.771	6.736	32	27	7767	242.719	31.021	240.000	201	296	213.625	204.094	21.156	0.539	0.188	0.513	213.611	204.119	21.197	212	203	19	4	3	5
1.832	12.131	76	61	17228	226.684	19.774	223.500	200	274	288.132	230.816	22.132	0.760	0.275	0.731	288.120	230.821	22.131	286	229	19	5	4	7
18.775	59.085	779	346	332482	426.806	237.298	344.000	200	1351	277.899	189.095	27.756	1.782	0.622	1.696	277.961	189.080	27.879	272	185	21	12	9	17
9.713	38.896	403	233	140227	347.958	115.863	314.000	200	691	234.767	3.672	29.911	1.380	0.448	1.344	234.748	3.641	29.962	232	0	24	7	10	12
2.362	13.895	98	68	21497	219.357	14.130	217.500	200	252	265.653	320.041	28.235	0.780	0.205	0.737	265.660	320.038	28.239	263	318	25	6	5	7
2.121	12.766	88	61	22885	260.057	47.733	248.500	200	385	276.409	328.045	29.227	0.769	0.251	0.706	276.442	328.061	29.275	275	326	26	4	5	7
