Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.506	4.690	21	21	6684	318.286	70.320	346.000	203	405	169.571	2.524	2.905	0.542	0.251	0.465	169.546	2.511	2.676	169	2	1	3	2	5
0.795	6.471	33	31	10174	308.303	98.814	253.000	201	461	343.455	3.697	2.515	0.562	0.223	0.600	343.475	3.648	2.467	342	3	1	4	3	5
0.868	6.929	36	32	11860	329.444	103.976	287.000	203	536	404.889	40.583	2.639	0.579	0.201	0.589	404.839	40.586	2.538	404	39	1	3	4	5
1.157	8.410	48	42	17376	362.000	134.802	328.000	200	656	508.500	46.833	3.042	0.665	0.259	0.589	508.521	46.833	2.808	507	46	1	4	3	6
2.097	12.766	87	67	43697	502.264	266.304	440.000	200	1232	241.598	50.851	3.414	0.801	0.283	0.741	241.666	50.882	3.137	240	49	1	5	5	7
0.265	3.209	11	11	2769	251.727	32.010	243.000	201	302	489.636	50.364	2.091	0.389	0.175	0.399	489.667	50.337	2.073	489	50	1	2	2	4
0.747	6.224	31	28	9325	300.806	80.719	290.000	201	498	286.806	64.903	2.548	0.530	0.197	0.604	286.813	64.912	2.454	286	64	1	3	3	5
0.940	7.247	39	34	14450	370.513	135.420	357.000	202	735	349.744	73.949	2.564	0.567	0.190	0.612	349.728	73.937	2.370	348	73	1	4	3	5
1.012	7.317	42	38	14952	356.000	112.154	317.500	213	660	465.000	94.000	2.881	0.582	0.227	0.502	465.014	93.997	2.695	464	93	1	3	3	6
0.386	4.232	16	16	4012	250.750	41.284	238.000	203	315	415.500	100.125	2.875	0.441	0.231	0.394	415.503	100.112	2.845	415	99	1	2	3	5
2.844	15.269	118	88	72102	611.034	377.320	500.000	200	1544	465.517	118.729	3.831	0.898	0.325	0.911	465.513	118.722	3.404	463	117	1	6	5	8
1.012	7.899	42	37	14348	341.619	112.133	303.000	201	569	421.786	121.857	2.976	0.621	0.252	0.531	421.761	121.800	2.813	420	121	1	4	3	6
0.289	3.209	12	12	3117	259.750	38.580	256.500	210	327	221.583	130.583	2.083	0.375	0.174	0.399	221.615	130.622	2.054	221	130	1	2	2	4
0.916	7.123	38	33	13723	361.132	119.015	335.000	212	611	228.342	151.868	2.684	0.578	0.199	0.580	228.382	151.859	2.536	227	151	1	4	3	5
0.265	2.821	11	11	2594	235.818	24.461	237.000	204	278	144.545	165.455	1.909	0.334	0.126	0.396	144.579	165.439	1.872	144	165	1	2	2	3
1.663	11.884	69	54	31367	454.594	207.757	428.000	202	1018	395.029	182.986	3.319	0.768	0.276	0.719	395.025	183.012	3.013	393	181	1	5	5	7
1.615	11.161	67	56	21052	314.209	79.645	293.000	202	511	281.179	194.030	2.806	0.695	0.220	0.711	281.243	193.995	2.749	279	192	1	5	5	6
2.000	12.060	83	63	39466	475.494	252.363	396.000	208	1157	388.940	200.518	3.241	0.769	0.257	0.736	388.941	200.559	2.944	387	199	1	5	4	7
0.988	7.371	41	35	14536	354.537	115.304	335.000	202	634	298.537	200.976	2.512	0.563	0.177	0.605	298.549	200.980	2.354	297	200	1	4	3	5
1.060	8.393	44	40	12871	292.523	65.023	285.000	201	470	213.136	207.205	2.341	0.578	0.186	0.582	213.117	207.157	2.252	212	205	1	3	6	5
1.060	7.829	44	39	18084	411.000	147.408	381.000	208	801	339.091	215.000	2.818	0.593	0.227	0.570	339.089	215.001	2.603	338	214	1	4	3	6
1.952	11.990	81	63	23669	292.210	73.378	274.000	203	497	149.407	216.457	3.272	0.740	0.238	0.718	149.482	216.447	3.262	147	215	1	5	4	7
2.097	12.519	87	68	34403	395.437	161.975	355.000	202	816	4.724	218.437	3.805	0.815	0.307	0.808	4.738	218.422	3.742	3	217	1	4	4	8
0.337	4.055	14	14	4231	302.214	75.231	299.000	211	430	511.000	225.929	2.857	0.512	0.248	0.474	511.000	225.863	2.799	511	225	1	1	3	5
1.567	9.874	65	52	29021	446.477	207.012	385.000	203	946	343.431	239.662	2.969	0.700	0.228	0.627	343.392	239.663	2.731	342	238	1	4	4	6
8.170	39.213	339	211	135223	398.888	254.813	298.000	200	1515	196.345	243.794	6.251	1.352	0.513	1.293	195.762	243.450	6.899	192	241	1	12	7	13
0.916	7.247	38	33	12934	340.368	112.396	315.000	200	601	487.921	246.658	2.658	0.580	0.198	0.594	487.924	246.649	2.530	487	245	1	3	4	5
0.289	3.209	12	12	2924	243.667	26.099	239.000	208	287	229.417	248.417	2.083	0.375	0.174	0.399	229.411	248.384	2.053	229	248	1	2	2	4
0.723	6.224	30	27	7957	265.233	49.568	252.500	205	354	272.967	249.433	2.800	0.538	0.208	0.537	272.943	249.447	2.770	272	248	1	3	4	5
6.556	39.953	272	210	78754	289.537	107.696	245.500	200	710	203.941	261.364	10.037	1.891	0.915	1.967	204.070	260.830	9.409	202	256	1	6	14	19
6.315	34.366	262	181	76692	292.718	77.854	270.500	201	555	162.935	262.118	5.634	1.183	0.393	1.129	162.809	262.211	5.535	157	258	1	13	8	10
1.783	11.232	74	59	29126	393.595	173.727	336.500	201	831	249.608	264.378	3.392	0.775	0.288	0.729	249.637	264.353	3.105	248	263	1	4	4	7
55.843	173.612	2317	989	887217	382.916	181.752	321.000	200	1189	237.344	271.180	11.905	2.664	0.840	2.611	237.061	270.781	12.053	227	263	1	23	16	21
1.494	10.597	62	49	19862	320.355	103.264	289.000	201	572	169.710	270.613	3.742	0.751	0.292	0.708	169.722	270.619	3.725	168	269	1	4	4	7
0.241	3.085	10	10	2203	220.300	16.125	217.500	200	245	185.600	270.200	2.500	0.394	0.179	0.296	185.607	270.188	2.486	185	270	1	2	2	4
1.301	10.015	54	45	14446	267.519	61.416	241.000	201	399	228.407	281.722	3.574	0.715	0.299	0.661	228.411	281.730	3.448	227	280	1	4	4	7
2.049	18.513	85	80	19609	230.694	28.117	223.000	200	321	246.835	291.176	7.188	1.123	0.606	0.979	246.902	291.194	7.005	244	289	1	6	5	13
1.157	7.705	48	44	18470	384.792	119.564	356.000	200	700	19.062	308.938	3.208	0.645	0.262	0.588	19.076	308.914	2.961	18	308	1	3	3	6
372.774	907.064	15467	5801	4516637	292.018	100.965	263.000	200	1143	255.478	316.915	20.132	5.243	1.981	4.753	255.654	316.407	20.459	216	292	1	75	50	27
26.511	110.515	1100	602	343702	312.456	100.133	285.000	200	759	218.256	337.770	13.862	2.724	1.286	2.592	217.977	337.547	14.336	213	330	1	16	16	27
1.085	8.868	45	38	14404	320.089	90.715	297.000	211	545	96.422	340.000	4.000	0.700	0.298	0.685	96.426	340.003	4.046	95	339	1	4	3	7
11.689	45.646	485	249	250902	517.324	350.536	385.000	200	1985	319.045	436.033	8.901	1.725	0.766	1.677	319.029	436.097	9.139	315	433	1	8	7	18
0.289	2.821	12	12	2623	218.583	9.317	219.500	206	235	85.500	310.500	3.000	0.344	0.124	0.428	85.493	310.509	3.003	85	310	2	2	2	3
