Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
24.583	110.292	1020	827	644006	631.378	403.953	507.500	200	2376	236.700	3.440	5.216	1.802	0.612	1.810	235.822	3.536	4.656	225	0	1	24	9	12
253.907	774.391	10535	5334	4214545	400.052	225.738	322.000	200	2221	271.965	29.499	18.283	5.873	2.332	5.992	271.619	28.530	18.223	249	0	1	43	76	29
2.675	14.537	111	111	46439	418.369	209.647	352.000	200	1253	222.685	8.721	1.523	0.817	0.322	0.821	223.187	9.085	1.548	218	5	1	10	9	2
2.193	13.424	91	91	25748	282.945	62.207	265.000	201	469	263.154	11.857	1.538	0.734	0.281	0.738	263.032	11.885	1.555	260	7	1	8	11	2
0.482	4.268	20	20	6616	330.800	103.216	309.000	203	529	291.450	13.750	1.450	0.363	0.086	0.388	291.446	13.779	1.423	290	12	1	4	4	2
0.241	2.487	10	10	2820	282.000	46.058	296.500	201	332	293.200	20.500	1.400	0.289	0.056	0.282	293.266	20.510	1.406	292	20	1	3	2	2
0.265	2.681	11	11	2547	231.545	21.111	224.000	207	264	270.091	21.455	1.545	0.298	0.055	0.318	270.102	21.448	1.546	269	21	1	3	2	2
10.653	45.949	442	442	138528	313.412	64.457	313.000	200	526	280.287	51.147	1.518	1.643	0.746	1.590	280.178	51.076	1.530	275	37	1	12	26	2
0.337	3.122	14	14	3243	231.643	16.080	234.500	207	257	286.500	66.714	1.571	0.333	0.087	0.311	286.484	66.752	1.585	286	65	1	2	4	2
1.109	7.426	46	46	15055	327.283	77.070	322.000	200	452	286.174	79.913	1.478	0.501	0.148	0.544	286.214	79.928	1.489	283	78	1	7	5	2
11.472	49.878	476	396	186438	391.676	242.927	280.000	200	1508	278.057	98.723	2.158	1.527	0.608	1.500	278.789	99.767	2.151	272	88	1	13	21	4
0.819	5.839	34	34	19475	572.794	286.223	511.000	200	1216	261.618	90.706	1.441	0.439	0.118	0.453	261.563	90.711	1.425	260	89	1	5	5	2
0.627	5.044	26	25	7294	280.538	57.958	272.500	203	419	285.923	109.269	1.846	0.431	0.108	0.455	285.928	109.284	1.821	285	108	1	3	4	3
2.555	13.088	106	91	35226	332.321	106.896	301.500	200	618	250.613	113.189	1.915	0.734	0.206	0.730	250.594	113.082	1.835	247	111	1	9	6	3
0.289	2.821	12	12	3295	274.583	38.299	280.500	220	329	303.500	113.500	2.000	0.344	0.124	0.428	303.500	113.480	2.103	303	113	1	2	2	3
0.771	5.802	32	30	9161	286.281	72.568	272.000	204	486	284.406	116.156	2.219	0.455	0.099	0.463	284.391	116.149	2.295	283	115	1	4	4	3
1.133	8.272	47	44	12756	271.404	56.977	260.000	201	448	295.723	123.638	2.000	0.551	0.154	0.537	295.716	123.713	2.057	294	121	1	5	6	3
32.272	104.859	1339	1006	614481	458.910	249.027	370.000	200	1589	246.234	145.204	2.023	2.424	1.077	2.298	245.942	146.017	2.053	235	129	1	22	38	3
1.494	9.736	62	54	26019	419.661	214.349	332.500	201	1133	66.548	137.903	1.758	0.596	0.146	0.589	66.323	137.896	1.707	64	136	1	7	5	3
0.506	4.726	21	20	5155	245.476	37.445	236.000	200	317	274.524	163.762	2.286	0.405	0.110	0.415	274.511	163.745	2.300	273	162	1	4	4	3
2.723	13.335	113	94	59772	528.956	318.899	435.000	202	1472	259.566	171.292	2.018	0.729	0.176	0.732	259.714	171.687	1.982	257	167	1	6	9	3
29.283	91.168	1215	907	551430	453.852	240.232	385.000	200	1673	275.316	191.068	2.025	2.475	1.202	2.236	276.048	190.788	2.061	266	170	1	17	44	3
1.085	7.867	45	42	12549	278.867	66.693	257.000	200	448	234.978	231.778	2.467	0.522	0.144	0.546	234.943	231.761	2.540	233	229	1	5	6	3
1.759	10.548	73	64	20428	279.836	67.525	266.000	200	469	244.055	248.945	2.205	0.619	0.135	0.598	243.970	248.939	2.253	241	247	1	7	6	3
19.233	76.426	798	635	281161	352.332	177.316	272.000	200	1050	244.481	271.420	2.109	2.156	0.908	2.157	244.000	273.097	2.103	236	254	1	17	33	3
3.760	18.257	156	128	78765	504.904	291.734	417.000	201	1289	218.744	280.654	1.853	0.851	0.249	0.831	219.149	280.393	1.869	213	277	1	11	8	3
118.120	350.671	4901	3593	2073275	423.031	260.193	342.000	200	2649	227.425	343.265	2.031	6.072	3.430	5.492	227.798	342.538	2.048	186	290	1	63	98	3
1.832	11.006	76	65	34235	450.461	226.543	369.000	203	1101	218.632	305.658	1.855	0.647	0.183	0.625	218.638	305.377	1.804	216	303	1	6	9	3
1.253	8.219	52	46	13554	260.654	53.989	242.500	202	426	252.731	308.154	2.135	0.559	0.133	0.544	252.690	308.116	2.184	251	306	1	5	6	3
108.865	331.692	4517	3347	1726921	382.316	203.970	309.000	200	1642	178.425	349.795	2.002	4.514	1.942	4.458	176.283	349.125	2.016	139	328	1	71	50	3
0.892	6.755	37	34	12294	332.270	99.757	309.000	216	585	135.324	335.324	1.757	0.487	0.107	0.507	135.371	335.303	1.669	133	334	1	5	4	3
0.651	5.485	27	26	7148	264.741	49.993	263.000	203	385	135.889	345.222	1.741	0.440	0.120	0.432	135.895	345.236	1.694	134	344	1	5	4	3
147.379	452.834	6115	4546	2913980	476.530	292.699	393.000	200	2814	106.766	388.188	2.001	5.740	2.693	5.733	105.810	388.660	2.021	63	349	1	83	72	3
1.952	10.829	81	68	45723	564.482	353.480	408.000	200	1504	26.667	361.432	2.025	0.641	0.133	0.641	26.716	361.526	2.024	24	358	1	6	7	3
5.567	21.134	231	181	147757	639.641	359.580	547.000	200	1726	18.035	363.286	2.004	0.953	0.246	1.019	18.098	363.613	2.092	14	358	1	9	11	3
9.062	37.118	376	300	200554	533.388	383.825	384.000	200	2240	62.136	366.293	1.947	1.345	0.531	1.324	62.942	366.712	1.952	53	360	1	20	11	3
0.313	3.580	13	12	2865	220.385	22.644	211.000	200	278	234.000	363.000	1.538	0.344	0.088	0.325	234.010	362.988	1.521	233	362	1	3	3	3
2544.083	6811.416	105558	59401	52025824	492.865	366.736	358.000	200	3620	156.586	342.996	13.720	21.620	9.936	20.914	149.746	347.613	13.859	0	213	1	274	207	23
4.868	23.107	202	167	50544	250.218	34.016	248.000	200	344	174.911	381.040	2.040	1.106	0.464	1.044	175.031	381.019	2.049	167	378	1	16	7	3
0.747	5.238	31	29	8030	259.032	42.706	262.000	201	361	77.742	410.935	2.065	0.452	0.096	0.470	77.759	410.948	2.054	76	410	1	4	3	3
1.205	7.831	50	46	13533	270.660	52.047	260.000	201	414	114.800	417.180	1.840	0.529	0.108	0.540	114.776	417.270	1.804	113	415	1	5	5	3
1.567	12.106	65	65	34852	536.185	317.328	489.000	209	1703	222.031	8.462	4.000	0.851	0.374	0.836	222.549	8.856	4.000	217	4	4	11	10	1
0.313	3.740	13	13	3014	231.846	21.055	235.000	201	266	256.231	6.231	4.000	0.466	0.237	0.444	256.317	6.186	4.000	253	5	4	7	4	1
0.289	3.034	12	12	2837	236.417	29.222	233.500	200	292	267.167	26.583	4.000	0.342	0.147	0.339	267.136	26.566	4.000	266	25	4	3	5	1
6.628	46.205	275	275	99034	360.124	120.807	342.000	202	871	280.011	51.807	4.000	1.911	0.964	1.794	279.865	51.648	4.000	271	37	4	18	32	1
0.434	4.358	18	18	5686	315.889	65.370	315.500	208	434	286.611	80.167	4.000	0.418	0.170	0.427	286.646	80.076	4.000	284	78	4	6	5	1
494.558	1324.802	20520	9813	9465294	461.272	300.610	358.000	200	2615	264.368	157.282	15.093	7.590	3.997	7.078	263.763	158.234	14.982	235	76	5	53	139	19
0.337	3.282	14	14	3365	240.357	28.913	241.500	202	288	259.286	220.500	5.000	0.347	0.120	0.380	259.277	220.479	5.000	258	219	5	4	4	1
0.844	6.847	35	35	16592	474.057	238.099	394.000	208	974	234.829	231.971	5.000	0.560	0.210	0.570	234.765	231.867	5.000	232	229	5	6	7	1
0.916	7.411	38	38	13328	350.737	124.763	313.000	201	670	243.842	249.395	5.000	0.588	0.222	0.619	243.642	249.293	5.000	241	247	5	7	7	1
91.055	566.807	3778	3778	1628963	431.171	279.954	330.000	200	2541	207.367	340.187	5.000	9.310	4.577	8.546	206.498	341.274	5.000	144	253	5	110	136	1
0.627	5.346	26	26	10888	418.769	176.364	365.500	208	822	220.115	280.308	5.000	0.478	0.174	0.501	220.127	280.149	5.000	218	278	5	5	6	1
0.530	4.852	22	22	6828	310.364	103.866	272.500	200	567	252.455	309.364	5.000	0.460	0.183	0.425	252.378	309.076	5.000	250	307	5	5	6	1
1.759	12.901	73	73	65756	900.767	577.440	808.000	207	2023	17.822	363.137	5.000	0.811	0.302	0.839	17.656	363.245	5.000	14	358	5	9	11	1
0.530	5.046	22	22	11619	528.136	302.016	474.500	206	1209	26.500	361.500	5.000	0.444	0.162	0.393	26.599	361.595	5.000	24	359	5	6	6	1
0.265	3.105	11	11	2455	223.182	17.331	223.000	200	260	71.545	410.091	5.000	0.385	0.181	0.446	71.494	410.144	5.000	70	408	5	4	5	1
4.748	25.907	197	148	87094	442.102	235.178	366.000	200	1494	221.289	8.152	7.497	1.055	0.366	1.037	221.506	8.321	7.218	217	4	6	11	10	6
1.301	9.945	54	44	17739	328.500	107.789	299.500	201	588	243.074	11.407	9.259	0.690	0.283	0.617	243.072	11.417	9.226	242	10	6	4	4	7
54.806	136.540	2274	1084	981567	431.648	206.143	374.000	200	1464	278.478	52.994	9.016	2.596	0.968	2.338	278.292	52.684	9.064	269	37	6	20	35	7
0.241	2.787	10	10	2325	232.500	21.732	232.500	201	270	286.700	80.500	6.000	0.317	0.127	0.363	286.707	80.453	6.000	285	79	6	4	4	1
47.263	129.790	1961	943	755122	385.070	188.463	327.000	200	1589	277.728	99.072	9.083	2.341	0.723	2.297	278.165	99.212	9.155	265	85	6	25	28	7
11.593	51.247	481	313	152713	317.491	120.353	272.000	200	794	281.771	120.933	9.285	1.477	0.442	1.529	281.673	120.834	9.236	274	115	6	15	13	7
2.386	13.912	99	73	30640	309.495	87.323	287.000	200	547	268.848	121.758	8.283	0.833	0.277	0.801	268.832	121.777	8.171	267	120	6	5	5	7
0.627	5.238	26	25	8735	335.962	101.091	328.000	210	604	296.038	125.038	6.808	0.425	0.106	0.407	296.021	125.054	6.678	294	124	6	5	3	3
3.495	16.542	145	100	45936	316.800	123.003	266.000	200	747	299.731	87.221	10.207	0.858	0.183	0.824	299.631	87.272	10.495	296	85	7	7	6	6
7.471	27.298	310	184	183299	591.287	369.794	455.000	201	1637	233.739	232.335	10.142	1.158	0.228	1.182	233.776	232.442	10.018	230	228	7	8	9	7
2.386	13.912	99	73	31768	320.889	102.980	296.000	200	600	257.778	268.616	10.222	0.821	0.284	0.798	257.786	268.629	10.304	255	267	7	6	4	7
0.675	6.294	28	25	6952	248.286	45.519	239.000	201	357	274.071	268.286	9.357	0.532	0.222	0.559	274.089	268.287	9.374	273	267	7	3	3	6
0.844	7.601	35	31	8570	244.857	40.730	233.000	200	334	262.143	303.629	9.029	0.574	0.240	0.511	262.109	303.750	9.036	261	299	7	3	8	4
0.916	7.019	38	34	11125	292.763	80.575	268.500	201	535	252.132	308.684	7.895	0.502	0.141	0.497	252.111	308.579	7.812	251	307	7	4	5	4
0.458	4.321	19	19	5831	306.895	91.587	281.000	201	531	26.684	361.684	7.316	0.360	0.092	0.359	26.705	361.743	7.267	25	360	7	4	4	2
0.458	4.321	19	19	4722	248.526	42.144	234.000	201	341	66.263	368.053	7.316	0.367	0.106	0.362	66.288	368.033	7.271	64	367	7	5	3	2
2.266	14.464	94	79	27203	289.394	97.625	250.500	200	636	154.883	387.117	9.255	0.769	0.294	0.719	154.696	387.145	9.320	150	385	7	13	6	4
0.578	4.990	24	22	6372	265.500	52.792	256.500	202	403	53.917	400.917	7.958	0.431	0.127	0.461	53.930	400.892	7.881	53	400	7	3	3	4
