Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
8.267	42.846	343	219	116938	340.927	127.555	307.000	200	906	172.752	4.813	4.621	1.343	0.412	1.346	172.693	4.727	4.369	167	0	1	13	10	10
239.952	799.703	9956	4560	4042595	406.046	246.921	320.000	200	2176	55.408	15.519	15.722	5.365	2.160	5.362	54.080	15.647	15.931	19	0	1	70	36	28
0.627	5.907	26	25	6805	261.731	48.673	256.000	200	360	36.769	18.385	3.885	0.548	0.248	0.471	36.742	18.387	3.899	36	17	1	3	3	6
1.783	13.488	74	64	20225	273.311	64.934	247.500	200	443	90.351	31.730	5.014	0.791	0.326	0.806	90.408	31.742	5.048	87	30	1	6	4	9
1.735	12.097	72	61	19207	266.764	55.467	245.500	201	420	188.389	51.111	2.514	0.712	0.239	0.677	188.448	51.071	2.418	185	49	1	7	6	6
4.603	31.278	191	148	53566	280.450	71.391	258.000	200	524	195.377	58.675	8.251	1.312	0.627	1.137	195.449	58.672	8.121	191	56	1	10	6	16
0.386	5.007	16	15	3534	220.875	20.639	213.500	204	269	189.938	81.062	3.688	0.534	0.281	0.512	189.935	81.054	3.731	189	80	1	3	3	6
3.639	24.053	151	119	39115	259.040	58.603	240.000	200	502	200.450	85.172	3.801	1.111	0.490	1.099	200.404	85.262	3.621	198	82	1	7	8	10
13.617	48.581	565	286	246073	435.527	222.929	378.000	200	1450	111.296	87.535	4.770	1.478	0.354	1.505	111.715	88.009	4.587	105	81	1	13	12	10
5.543	28.381	230	173	95138	413.643	237.728	323.500	200	1366	111.300	107.396	2.065	1.118	0.416	1.063	111.238	107.929	1.898	108	99	1	10	15	5
553.100	1374.326	22949	8543	10166312	442.996	286.271	343.000	200	2900	157.225	152.057	14.581	8.820	3.929	8.425	157.583	153.176	15.101	125	94	1	51	133	28
0.819	6.561	34	32	9708	285.529	71.610	269.500	201	488	123.353	108.088	1.618	0.474	0.128	0.474	123.455	108.114	1.564	121	107	1	6	4	3
2.458	14.215	102	80	38825	380.637	158.056	340.500	201	886	116.882	117.833	2.186	0.750	0.204	0.736	116.863	117.623	2.055	114	115	1	6	8	5
3.326	17.351	138	93	51268	371.507	165.315	314.500	201	917	230.710	153.797	3.181	0.885	0.222	0.857	230.676	153.597	2.903	228	151	1	6	7	7
19.088	93.289	792	502	280357	353.986	168.362	290.000	200	1126	233.023	176.991	15.187	2.725	1.334	2.644	233.166	176.776	14.817	227	171	1	11	17	28
0.506	4.656	21	21	5580	265.714	42.523	259.000	200	350	231.810	178.429	1.524	0.408	0.133	0.377	231.800	178.445	1.466	230	177	1	5	3	3
14.702	54.958	610	325	261305	428.369	250.812	333.000	200	1544	232.092	191.711	8.764	1.907	0.828	1.799	232.126	191.771	9.201	228	187	1	9	10	18
4.459	25.318	185	133	59439	321.292	114.326	288.000	200	663	189.265	220.168	6.557	1.434	0.854	1.148	189.304	220.089	6.447	187	218	1	5	6	16
0.362	3.316	15	15	3517	234.467	21.125	231.000	200	274	178.200	229.867	1.467	0.329	0.069	0.345	178.212	229.845	1.440	177	229	1	3	3	2
56.035	177.723	2325	1019	1054237	453.435	289.601	340.000	200	1979	158.591	229.341	11.286	2.613	0.877	2.484	158.124	230.227	11.504	149	215	1	21	25	24
3.374	18.355	140	99	45217	322.979	102.815	298.500	200	617	244.157	233.200	4.207	0.979	0.373	0.935	244.169	233.160	4.154	242	231	1	5	6	9
1.735	14.387	72	64	19231	267.097	55.111	249.000	200	404	256.167	235.306	3.361	0.800	0.263	0.824	256.275	235.359	3.378	253	233	1	7	6	6
1.085	8.992	45	40	12290	273.111	58.220	247.000	200	375	251.111	238.311	4.911	0.714	0.340	0.643	251.155	238.345	4.947	250	237	1	4	3	8
0.554	5.061	23	21	5651	245.696	32.565	238.000	200	315	175.174	241.130	2.174	0.448	0.140	0.439	175.183	241.113	2.124	174	240	1	3	3	4
1684.896	3714.228	69909	23666	35488632	507.640	441.633	342.000	200	3746	98.019	386.138	13.327	20.368	8.157	19.515	82.389	403.521	14.583	0	242	1	184	232	28
0.578	5.502	24	22	6550	272.917	60.517	262.500	202	417	254.125	265.000	2.042	0.459	0.151	0.464	254.171	265.013	1.939	253	264	1	4	3	4
12.918	53.447	536	315	167573	312.636	99.959	286.500	200	727	171.638	275.306	4.631	1.489	0.443	1.500	171.460	275.391	4.683	167	270	1	11	12	12
6.917	43.605	287	215	70856	246.885	45.453	229.000	200	384	169.122	290.415	6.700	1.363	0.541	1.281	169.351	290.330	6.780	162	285	1	12	12	12
2.964	23.309	123	104	28194	229.220	31.499	214.000	200	345	167.967	303.911	8.390	1.299	0.725	1.174	167.947	303.859	8.458	166	300	1	5	7	16
0.482	5.238	20	20	4276	213.800	10.914	210.500	201	239	158.650	307.450	1.550	0.451	0.159	0.450	158.631	307.426	1.540	157	306	1	5	5	3
1.567	11.990	65	53	14365	221.000	16.686	214.000	200	262	154.123	332.600	4.615	0.746	0.310	0.683	154.146	332.602	4.634	152	331	1	5	4	8
29.789	121.291	1236	719	546452	442.113	367.567	294.500	200	2454	153.268	335.858	19.838	2.844	1.625	2.478	153.880	334.417	21.719	147	327	1	13	20	28
