Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
3137	1826	3137	990	9411	3	0	3	3	3	333.853	13.846	6.172	9.259	2.033	8.912	333.853	13.846	6.172	323	0	1	25	24	15
14168	4280	14168	2489	99176	7	0	7	7	7	311.184	119.363	11.717	14.627	1.190	14.824	311.213	119.363	11.717	295	104	1	32	31	27
1527	1270	1527	702	6108	4	0	4	4	4	328.075	169.756	8.267	7.425	2.201	6.880	328.075	169.756	8.267	314	164	1	25	12	17
1330	1228	1330	613	2660	2	0	2	2	2	315.618	180.691	9.214	7.320	2.204	7.468	315.618	180.691	9.214	309	173	1	14	18	19
2548	1910	2548	996	22932	9	0	9	9	9	328.965	183.391	11.861	8.574	2.270	8.587	328.965	183.391	11.861	320	174	1	20	19	25
13358	4224	13358	2576	66790	5	0	5	5	5	374.203	418.777	8.374	14.678	2.457	14.921	374.172	418.776	8.374	357	401	1	34	36	22
18727	5180	18727	3018	243451	13	0	13	13	13	312.463	496.204	18.797	16.059	1.002	16.122	312.438	496.204	18.797	297	480	2	32	32	32
12008	3792	12008	2549	168112	14	0	14	14	14	343.938	503.832	20.892	14.246	2.575	14.460	343.967	503.828	20.892	327	493	4	35	19	30
6464	3614	6464	1913	71104	11	0	11	11	11	319.242	422.736	17.765	11.330	2.613	11.813	319.252	422.737	17.765	308	408	9	26	29	22
9895	3530	9895	2177	168215	17	0	17	17	17	315.851	97.987	24.987	13.134	1.990	13.381	315.832	97.987	24.987	303	84	12	29	30	22
10517	3450	10517	2120	168272	16	0	16	16	16	321.907	213.201	24.317	13.251	1.455	13.538	321.907	213.201	24.317	308	200	12	29	28	22
