Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
4879.280	13067.452	202449	122693	1380749	6.820	14.603	3	1	405	95.166	246.425	4.750	27.213	10.932	27.127	98.700	189.663	5.000	0	19	1	186	428	8
0.386	3.723	16	16	16	1.000	0.000	1	1	1	15.688	146.062	1.000	0.380	0.144	0.410	15.688	146.062	1.000	14	144	1	4	5	1
0.844	8.398	35	35	39	1.114	0.404	1	1	3	38.914	148.114	1.000	0.617	0.278	0.573	39.051	148.026	1.000	35	145	1	8	8	1
0.819	7.111	34	34	41	1.206	0.410	1	1	2	55.353	150.382	1.000	0.579	0.235	0.599	55.220	150.317	1.000	52	148	1	8	6	1
0.265	2.911	11	11	11	1.000	0.000	1	1	1	71.273	153.273	1.000	0.318	0.122	0.324	71.273	153.273	1.000	70	152	1	4	4	1
0.410	3.846	17	17	27	1.588	0.712	1	1	3	32.706	154.588	1.000	0.391	0.146	0.402	32.630	154.481	1.000	31	153	1	5	4	1
0.313	3.352	13	13	14	1.077	0.277	1	1	2	87.923	155.154	1.000	0.343	0.141	0.340	87.929	155.143	1.000	86	153	1	4	5	1
0.241	2.593	10	10	10	1.000	0.000	1	1	1	23.000	155.200	1.000	0.291	0.113	0.308	23.000	155.200	1.000	22	154	1	3	4	1
0.289	3.228	12	12	12	1.000	0.000	1	1	1	43.750	156.917	1.000	0.352	0.170	0.319	43.750	156.917	1.000	41	156	1	6	3	1
1.759	16.585	73	73	83	1.137	0.451	1	1	3	83.986	161.918	1.000	1.010	0.380	1.006	83.976	161.783	1.000	79	156	1	11	14	1
0.241	3.175	10	10	10	1.000	0.000	1	1	1	49.300	161.400	1.000	0.342	0.157	0.373	49.300	161.400	1.000	48	159	1	4	5	1
0.289	3.034	12	12	18	1.500	0.674	1	1	3	51.750	168.333	1.000	0.325	0.117	0.345	51.833	168.222	1.000	50	167	1	4	4	1
0.410	4.040	17	17	20	1.176	0.529	1	1	3	56.706	174.059	1.000	0.400	0.159	0.416	56.750	174.100	1.000	55	172	1	5	5	1
0.337	3.669	14	14	17	1.214	0.426	1	1	2	116.429	189.714	1.000	0.362	0.148	0.380	116.471	189.647	1.000	114	188	1	5	4	1
0.313	3.546	13	13	21	1.615	0.650	2	1	3	121.000	202.000	1.000	0.338	0.144	0.352	121.095	202.000	1.000	119	200	1	5	5	1
0.313	3.158	13	13	13	1.000	0.000	1	1	1	77.308	214.000	1.000	0.345	0.138	0.325	77.308	214.000	1.000	75	213	1	5	3	1
0.241	2.593	10	10	10	1.000	0.000	1	1	1	92.000	214.800	1.000	0.291	0.113	0.308	92.000	214.800	1.000	91	213	1	3	4	1
0.241	2.664	10	10	10	1.000	0.000	1	1	1	85.000	285.000	1.100	0.281	0.099	0.301	85.000	285.000	1.100	84	284	1	3	3	2
0.337	3.810	14	14	14	1.000	0.000	1	1	1	100.429	285.714	1.143	0.358	0.129	0.362	100.429	285.714	1.143	99	284	1	4	4	2
0.241	2.874	10	10	10	1.000	0.000	1	1	1	92.100	296.000	1.400	0.296	0.063	0.305	92.100	296.000	1.400	91	295	1	3	3	2
0.289	3.051	12	12	12	1.000	0.000	1	1	1	135.167	343.917	1.250	0.311	0.087	0.315	135.167	343.917	1.250	134	343	1	3	3	2
0.410	4.251	17	17	17	1.000	0.000	1	1	1	22.176	344.059	1.824	0.387	0.157	0.381	22.176	344.059	1.824	20	343	1	6	3	2
0.675	6.226	28	28	34	1.214	0.499	1	1	3	139.857	346.250	1.357	0.440	0.158	0.412	139.912	346.265	1.294	138	344	1	6	6	2
0.289	3.439	12	12	12	1.000	0.000	1	1	1	148.500	349.083	1.250	0.340	0.129	0.315	148.500	349.083	1.250	147	348	1	5	3	2
0.675	5.591	28	28	32	1.143	0.356	1	1	2	147.750	358.107	1.500	0.432	0.141	0.407	147.781	358.062	1.438	145	356	1	6	5	2
1.374	11.183	57	57	75	1.316	0.602	1	1	4	144.158	369.561	1.561	0.699	0.248	0.678	144.467	369.493	1.493	140	366	1	9	8	2
1.133	10.919	47	47	52	1.106	0.312	1	1	2	138.553	377.128	1.553	0.640	0.265	0.627	138.596	377.212	1.596	136	373	1	7	9	2
0.386	3.703	16	16	44	2.750	2.517	1	1	9	2.625	444.000	1.500	0.364	0.116	0.341	2.841	443.955	1.591	2	442	1	2	5	2
0.675	8.851	28	27	28	1.000	0.000	1	1	1	35.643	141.821	5.357	0.702	0.249	0.710	35.643	141.821	5.357	34	138	3	4	7	5
0.241	3.650	10	9	10	1.000	0.000	1	1	1	35.500	170.000	4.600	0.460	0.266	0.363	35.500	170.000	4.600	34	169	3	4	3	5
2.217	21.355	92	86	93	1.011	0.104	1	1	2	122.228	205.261	5.152	0.965	0.324	0.931	122.215	205.280	5.140	119	201	3	8	11	6
0.241	2.945	10	10	10	1.000	0.000	1	1	1	103.000	225.000	3.500	0.292	0.051	0.316	103.000	225.000	3.500	102	224	3	3	3	2
0.289	3.720	12	11	12	1.000	0.000	1	1	1	20.000	140.000	5.417	0.412	0.162	0.337	20.000	140.000	5.417	19	139	4	3	3	4
0.337	3.509	14	14	15	1.071	0.267	1	1	2	4.429	331.071	4.429	0.324	0.070	0.335	4.467	331.067	4.400	3	330	4	4	3	2
1.350	11.057	56	51	56	1.000	0.000	1	1	1	1.375	334.929	6.071	0.718	0.267	0.792	1.375	334.929	6.071	0	333	4	7	5	5
0.554	4.937	23	23	31	1.348	0.573	1	1	3	0.435	341.304	5.565	0.445	0.158	0.417	0.355	341.258	5.645	0	340	4	2	4	4
0.337	3.633	14	14	14	1.000	0.000	1	1	1	148.929	357.214	4.357	0.325	0.078	0.333	148.929	357.214	4.357	148	356	4	3	4	2
