Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.289	3.369	12	12	12	1.000	0.000	1	1	1	29.750	6.917	1.167	0.316	0.103	0.325	29.750	6.917	1.167	28	6	1	4	3	2
0.337	3.439	14	14	15	1.071	0.267	1	1	2	63.000	9.000	1.357	0.318	0.068	0.353	63.000	9.000	1.333	62	8	1	3	3	2
40173.688	34753.852	1666870	288124	29417792	17.649	32.598	7	1	1090	110.486	224.932	14.940	31.595	13.196	31.585	108.905	199.725	17.311	0	4	1	241	452	28
0.434	4.304	18	18	18	1.000	0.000	1	1	1	15.722	146.111	1.111	0.383	0.134	0.403	15.722	146.111	1.111	14	144	1	4	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	22.000	151.000	1.100	0.281	0.099	0.301	22.000	151.000	1.100	21	150	1	3	3	2
0.241	3.139	10	10	10	1.000	0.000	1	1	1	82.000	152.800	1.600	0.321	0.110	0.302	82.000	152.800	1.600	81	152	1	3	3	3
0.434	5.679	18	18	18	1.000	0.000	1	1	1	23.778	154.389	1.722	0.580	0.268	0.539	23.778	154.389	1.722	22	152	1	5	6	4
0.578	5.204	24	24	27	1.125	0.448	1	1	3	56.792	174.125	1.292	0.407	0.130	0.400	56.815	174.148	1.259	55	172	1	5	5	2
0.289	3.051	12	12	12	1.000	0.000	1	1	1	199.167	200.917	1.250	0.311	0.087	0.315	199.167	200.917	1.250	198	200	1	3	3	2
0.386	4.479	16	15	16	1.000	0.000	1	1	1	72.875	204.125	2.250	0.377	0.096	0.367	72.875	204.125	2.250	72	203	1	3	3	3
0.337	3.546	14	14	14	1.000	0.000	1	1	1	77.357	214.000	1.071	0.351	0.132	0.367	77.357	214.000	1.071	75	213	1	5	3	2
0.386	4.496	16	14	16	1.000	0.000	1	1	1	103.000	225.000	2.875	0.421	0.135	0.422	103.000	225.000	2.875	102	224	1	3	3	4
0.241	2.664	10	10	10	1.000	0.000	1	1	1	85.000	285.000	1.100	0.281	0.099	0.301	85.000	285.000	1.100	84	284	1	3	3	2
0.337	3.810	14	14	14	1.000	0.000	1	1	1	100.429	285.714	1.143	0.358	0.129	0.362	100.429	285.714	1.143	99	284	1	4	4	2
0.265	3.262	11	11	11	1.000	0.000	1	1	1	92.091	296.091	1.545	0.330	0.112	0.311	92.091	296.091	1.545	91	295	1	3	3	3
0.265	3.844	11	10	11	1.000	0.000	1	1	1	85.273	306.273	2.636	0.429	0.240	0.361	85.273	306.273	2.636	84	305	1	3	3	5
0.964	9.700	40	40	46	1.150	0.427	1	1	3	140.925	345.750	2.150	0.724	0.350	0.662	140.826	345.826	2.000	138	344	1	7	6	6
0.241	2.664	10	10	10	1.000	0.000	1	1	1	205.000	347.000	1.100	0.281	0.099	0.301	205.000	347.000	1.100	204	346	1	3	3	2
0.313	3.951	13	13	13	1.000	0.000	1	1	1	148.385	349.154	1.385	0.378	0.164	0.338	148.385	349.154	1.385	147	348	1	5	3	3
0.241	2.593	10	10	10	1.000	0.000	1	1	1	154.000	356.200	1.000	0.291	0.113	0.308	154.000	356.200	1.000	153	355	1	3	4	1
1.326	11.251	55	48	59	1.073	0.262	1	1	2	148.109	357.709	2.582	0.637	0.210	0.668	148.102	357.712	2.475	145	355	1	6	6	5
0.265	2.911	11	11	11	1.000	0.000	1	1	1	166.182	404.545	1.000	0.339	0.156	0.324	166.182	404.545	1.000	165	402	1	3	5	1
1.518	9.627	63	54	104	1.651	0.699	2	1	3	119.000	426.746	3.556	0.702	0.272	0.670	119.000	426.740	3.471	118	425	1	3	4	7
10.749	58.131	446	314	918	2.058	1.924	1	1	13	132.224	433.289	10.464	2.098	1.013	1.995	132.788	433.843	8.624	126	428	1	13	10	20
0.265	3.262	11	10	11	1.000	0.000	1	1	1	28.818	163.364	2.909	0.340	0.098	0.356	28.818	163.364	2.909	28	162	2	3	3	3
0.362	3.968	15	14	15	1.000	0.000	1	1	1	14.400	339.733	3.400	0.396	0.152	0.349	14.400	339.733	3.400	13	339	2	3	3	4
0.241	3.650	10	9	10	1.000	0.000	1	1	1	35.500	170.000	4.600	0.460	0.266	0.363	35.500	170.000	4.600	34	169	3	4	3	5
0.506	4.673	21	19	22	1.048	0.218	1	1	2	4.381	331.048	3.952	0.415	0.086	0.437	4.409	331.045	3.955	3	330	3	4	3	3
0.289	3.720	12	11	12	1.000	0.000	1	1	1	20.000	140.000	5.417	0.412	0.162	0.337	20.000	140.000	5.417	19	139	4	3	3	4
0.795	9.416	33	32	36	1.091	0.292	1	1	2	3.000	148.818	6.273	0.743	0.243	0.758	3.000	148.833	6.278	0	146	5	7	6	4
0.458	4.603	19	18	20	1.053	0.229	1	1	2	27.000	298.000	6.000	0.382	0.086	0.390	27.000	298.000	6.000	26	297	5	3	3	3
0.362	4.426	15	15	15	1.000	0.000	1	1	1	21.467	146.533	7.400	0.408	0.143	0.418	21.467	146.533	7.400	20	146	6	4	3	4
0.265	3.333	11	11	11	1.000	0.000	1	1	1	21.909	151.000	6.636	0.320	0.106	0.306	21.909	151.000	6.636	21	150	6	3	3	3
0.337	3.720	14	14	14	1.000	0.000	1	1	1	45.643	168.857	7.714	0.380	0.154	0.342	45.643	168.857	7.714	45	168	6	2	3	4
0.747	7.371	31	30	32	1.032	0.180	1	1	2	0.387	326.871	9.290	0.552	0.246	0.538	0.375	326.875	9.312	0	324	7	3	6	6
0.241	3.456	10	9	10	1.000	0.000	1	1	1	80.600	152.900	8.800	0.356	0.106	0.358	80.600	152.900	8.800	79	152	8	4	3	3
0.771	6.384	32	27	33	1.031	0.177	1	1	2	12.469	155.531	9.219	0.478	0.091	0.494	12.485	155.515	9.212	11	154	8	4	4	4
0.265	3.192	11	10	11	1.000	0.000	1	1	1	142.000	352.364	9.000	0.326	0.086	0.317	142.000	352.364	9.000	141	351	8	3	3	3
0.265	3.333	11	11	11	1.000	0.000	1	1	1	106.909	281.000	10.636	0.320	0.106	0.306	106.909	281.000	10.636	106	280	10	3	3	3
5.929	36.303	246	172	598	2.431	2.353	1	1	16	293.870	136.280	22.366	1.808	0.978	1.790	293.901	136.184	23.886	291	134	11	6	9	18
0.699	9.380	29	29	29	1.000	0.000	1	1	1	10.862	164.103	15.759	0.840	0.499	0.742	10.862	164.103	15.759	10	163	11	3	4	10
0.265	3.580	11	10	11	1.000	0.000	1	1	1	146.818	205.545	12.727	0.369	0.148	0.325	146.818	205.545	12.727	146	204	11	3	4	4
3.639	26.586	151	115	235	1.556	0.797	1	1	5	483.000	211.934	21.623	1.632	0.964	1.435	483.000	211.936	22.681	481	210	11	5	5	18
0.386	4.038	16	15	16	1.000	0.000	1	1	1	2.688	145.625	13.625	0.420	0.163	0.418	2.688	145.625	13.625	2	145	12	3	3	4
0.241	3.068	10	10	10	1.000	0.000	1	1	1	85.400	269.600	15.400	0.331	0.116	0.295	85.400	269.600	15.400	85	268	14	2	4	3
0.362	4.108	15	14	15	1.000	0.000	1	1	1	430.000	489.000	15.000	0.391	0.097	0.462	430.000	489.000	15.000	429	488	14	3	3	3
2.145	12.291	89	62	453	5.090	5.793	2	1	31	240.000	491.000	16.000	0.721	0.133	0.679	240.000	491.000	16.000	238	489	14	5	5	5
0.916	10.509	38	36	39	1.026	0.162	1	1	2	41.895	172.316	16.658	0.675	0.270	0.611	41.897	172.333	16.667	38	171	15	9	4	6
5.833	42.272	242	195	311	1.285	0.787	1	1	7	38.004	277.579	24.760	1.549	0.840	1.346	37.855	277.659	25.244	28	271	15	18	12	14
4.170	31.966	173	158	242	1.399	0.975	1	1	9	0.867	287.249	24.405	1.378	0.555	1.349	0.727	287.806	24.926	0	283	17	4	10	12
0.506	5.378	21	18	29	1.381	0.590	1	1	3	27.000	298.000	20.000	0.426	0.155	0.462	27.000	298.000	20.000	26	297	18	3	3	5
19.209	72.342	797	440	1380	1.731	1.057	1	1	6	238.054	301.181	24.715	1.625	0.380	1.587	238.170	301.064	25.236	231	293	18	15	17	11
2.000	14.387	83	67	126	1.518	0.967	1	1	6	402.012	448.012	23.434	0.969	0.440	1.011	402.008	448.008	23.881	400	446	19	5	5	10
0.241	3.015	10	10	11	1.100	0.316	1	1	2	0.100	160.000	21.000	0.338	0.147	0.391	0.091	160.000	21.000	0	159	20	2	3	3
0.241	3.262	10	9	10	1.000	0.000	1	1	1	21.100	132.900	23.700	0.368	0.148	0.298	21.100	132.900	23.700	20	132	22	3	3	4
0.940	7.918	39	36	40	1.026	0.160	1	1	2	57.000	238.000	25.615	0.642	0.296	0.677	57.000	238.000	25.600	56	237	22	3	3	7
0.337	3.456	14	14	14	1.000	0.000	1	1	1	130.500	428.000	24.500	0.346	0.118	0.340	130.500	428.000	24.500	130	427	23	2	3	4
0.241	2.557	10	10	10	1.000	0.000	1	1	1	127.400	429.800	23.500	0.291	0.054	0.296	127.400	429.800	23.500	127	429	23	2	3	2
0.482	6.277	20	20	20	1.000	0.000	1	1	1	94.900	248.200	25.300	0.592	0.197	0.606	94.900	248.200	25.300	93	245	24	5	7	3
1.085	8.059	45	42	54	1.200	0.457	1	1	3	26.778	298.178	26.067	0.635	0.233	0.675	26.796	298.167	25.944	25	297	24	4	4	5
1.085	8.376	45	42	58	1.289	0.549	1	1	3	472.978	332.844	26.267	0.631	0.223	0.651	472.983	332.828	26.414	471	331	24	5	4	5
0.458	4.603	19	18	20	1.053	0.229	1	1	2	324.000	398.000	26.000	0.382	0.086	0.390	324.000	398.000	26.000	323	397	25	3	3	3
0.289	3.580	12	11	13	1.083	0.289	1	1	2	429.667	489.000	26.167	0.367	0.145	0.335	429.692	489.000	26.154	429	488	25	3	3	4
0.819	8.114	34	34	36	1.059	0.343	1	1	3	111.176	11.118	27.824	0.772	0.315	0.817	111.000	11.056	27.833	107	9	27	10	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	340.000	175.000	27.900	0.281	0.099	0.301	340.000	175.000	27.900	339	174	27	3	3	2
0.337	3.439	14	14	15	1.071	0.267	1	1	2	36.000	215.000	27.643	0.318	0.068	0.353	36.000	215.000	27.667	35	214	27	3	3	2
0.386	3.880	16	16	17	1.062	0.250	1	1	2	84.062	270.750	27.688	0.342	0.092	0.340	84.059	270.765	27.706	83	269	27	3	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	228.000	325.000	27.900	0.281	0.099	0.301	228.000	325.000	27.900	227	324	27	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	117.000	428.000	27.900	0.281	0.099	0.301	117.000	428.000	27.900	116	427	27	3	3	2
