Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
4.772	48.595	198	198	1669	8.429	6.826	6.000	1	34	0.000	33.202	2.000	4.215	2.450	4.111	0.000	35.668	2.064	0	0	1	1	69	3
1.928	19.748	80	80	1069	13.363	10.913	9.000	1	45	46.263	0.000	2.037	1.768	0.955	1.764	48.133	0.000	1.985	33	0	1	28	1	3
18328.324	16553.195	760471	199192	112216088	147.561	223.001	74.000	1	3804	262.596	221.938	10.572	37.751	15.891	34.672	272.316	219.553	12.083	33	0	1	479	350	21
0.337	3.580	14	14	17	1.214	0.426	1.000	1	2	420.571	0.429	1.786	0.364	0.126	0.360	420.529	0.353	1.706	419	0	1	4	2	3
5.977	29.159	248	207	4086	16.476	31.807	2.000	1	194	446.871	3.875	1.831	1.141	0.401	1.128	449.409	2.404	1.719	439	0	1	15	12	3
3.350	15.911	139	111	576	4.144	4.106	3.000	1	21	399.446	10.353	1.856	0.802	0.214	0.792	399.410	10.606	1.623	396	6	1	7	10	3
0.434	4.338	18	17	18	1.000	0.000	1.000	1	1	469.944	7.778	1.556	0.379	0.102	0.350	469.944	7.778	1.556	469	6	1	3	4	3
7.905	29.709	328	253	21442	65.372	127.547	10.000	1	755	411.787	17.954	1.954	1.142	0.361	1.145	412.293	19.049	1.761	407	11	1	11	14	3
0.892	6.614	37	35	48	1.297	0.661	1.000	1	4	466.108	12.757	1.649	0.479	0.118	0.505	466.104	12.792	1.542	464	11	1	5	5	3
0.603	5.344	25	24	35	1.400	0.764	1.000	1	4	200.840	15.000	1.440	0.407	0.108	0.391	200.829	15.000	1.371	199	13	1	5	5	3
0.916	7.179	38	37	47	1.237	0.490	1.000	1	3	156.789	16.105	1.632	0.491	0.139	0.534	156.851	16.128	1.532	155	14	1	5	5	3
0.916	6.561	38	36	54	1.421	0.722	1.000	1	4	173.895	17.658	1.789	0.483	0.113	0.501	173.889	17.667	1.648	172	16	1	5	5	3
0.892	6.597	37	37	59	1.595	0.985	1.000	1	5	395.622	20.622	1.405	0.458	0.130	0.460	395.627	20.627	1.322	393	18	1	6	6	2
1.036	7.373	43	39	86	2.000	1.431	1.000	1	7	479.860	22.256	1.651	0.507	0.113	0.531	479.837	22.233	1.465	478	20	1	5	5	3
3.302	17.516	137	113	639	4.664	6.030	2.000	1	35	289.577	25.343	1.818	0.835	0.267	0.829	290.446	25.862	1.613	284	21	1	11	9	3
3.013	16.915	125	107	925	7.400	10.483	3.000	1	53	494.648	32.440	1.872	0.811	0.269	0.780	495.269	33.143	1.638	490	28	1	9	9	3
0.289	3.299	12	12	12	1.000	0.000	1.000	1	1	476.000	35.000	1.083	0.317	0.125	0.353	476.000	35.000	1.083	474	34	1	5	3	2
4.579	19.069	190	149	6953	36.595	58.617	8.500	1	324	487.200	37.947	1.974	0.880	0.216	0.928	487.256	37.931	1.729	482	34	1	10	9	3
0.362	3.439	15	15	18	1.200	0.414	1.000	1	2	237.067	36.933	1.400	0.325	0.068	0.330	237.111	36.889	1.333	236	36	1	3	3	2
4.001	17.058	166	132	4804	28.940	44.832	8.500	1	245	466.048	42.349	1.964	0.831	0.194	0.862	466.032	42.279	1.683	462	39	1	9	8	3
2.193	11.941	91	76	675	7.418	9.270	3.000	1	44	195.615	43.440	1.846	0.664	0.134	0.678	195.730	43.393	1.553	192	41	1	8	6	3
3.157	15.153	131	105	1441	11.000	14.425	4.000	1	71	493.702	55.664	1.855	0.767	0.181	0.791	493.546	55.804	1.666	490	52	1	9	8	3
0.892	6.614	37	33	65	1.757	1.116	1.000	1	5	471.351	57.351	1.595	0.480	0.104	0.479	471.338	57.308	1.431	469	55	1	5	5	3
2.844	14.077	118	97	1480	12.542	16.943	5.000	1	80	377.695	62.373	1.856	0.731	0.159	0.746	377.641	62.414	1.628	374	59	1	8	8	3
1.157	7.390	48	44	87	1.812	1.065	1.000	1	5	504.729	61.521	1.896	0.526	0.107	0.529	504.747	61.471	1.782	503	60	1	5	5	3
1.759	10.301	73	60	337	4.616	4.847	3.000	1	22	234.479	65.781	1.808	0.614	0.115	0.632	234.543	65.843	1.537	232	63	1	6	6	3
0.337	3.439	14	14	15	1.071	0.267	1.000	1	2	366.000	71.000	1.357	0.318	0.068	0.353	366.000	71.000	1.333	365	70	1	3	3	2
1.735	17.633	72	72	1041	14.458	9.345	15.000	1	34	0.000	82.486	2.028	1.549	0.832	1.520	0.000	84.748	2.118	0	70	1	1	25	3
0.747	5.839	31	31	47	1.516	0.811	1.000	1	4	350.774	80.677	1.387	0.431	0.121	0.447	350.766	80.702	1.319	349	79	1	5	5	2
1.759	9.983	73	61	222	3.041	2.811	2.000	1	13	227.082	84.521	1.849	0.612	0.113	0.626	227.122	84.468	1.649	225	82	1	6	6	3
3.037	17.850	126	106	256	2.032	1.512	1.000	1	9	166.516	87.802	1.770	0.853	0.282	0.880	165.883	87.621	1.629	162	84	1	11	8	3
1.422	8.977	59	50	152	2.576	1.905	2.000	1	8	329.373	89.627	1.831	0.569	0.104	0.579	329.408	89.678	1.671	327	87	1	6	6	3
0.627	6.066	26	24	30	1.154	0.464	1.000	1	3	205.154	91.000	1.692	0.442	0.110	0.444	205.167	91.000	1.633	203	89	1	5	5	3
0.651	5.591	27	26	36	1.333	0.734	1.000	1	4	180.222	93.000	1.407	0.418	0.113	0.407	180.194	93.000	1.333	178	91	1	5	5	3
17.257	56.867	716	531	12893	18.007	36.181	4.000	1	228	387.230	114.317	1.944	1.618	0.562	1.653	386.539	111.753	1.873	378	104	1	19	22	3
1.711	10.531	71	62	261	3.676	3.745	2.000	1	18	238.690	108.901	1.704	0.613	0.137	0.608	238.736	108.866	1.498	236	106	1	6	7	3
