Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
44732.871	30783.822	1856038	251126	179136768	96.516	166.437	45	1	3808	216.123	308.914	18.117	38.005	18.729	35.930	205.466	287.535	19.172	0	35	1	512	401	30
0.337	3.439	14	14	15	1.071	0.267	1	1	2	19.000	163.000	1.357	0.318	0.068	0.353	19.000	163.000	1.333	18	162	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	37.000	220.000	1.100	0.281	0.099	0.301	37.000	220.000	1.100	36	219	1	3	3	2
0.458	4.833	19	19	20	1.053	0.229	1	1	2	18.105	231.158	1.263	0.433	0.183	0.419	18.100	231.200	1.250	17	228	1	3	6	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	475.000	241.000	1.100	0.281	0.099	0.301	475.000	241.000	1.100	474	240	1	3	3	2
0.386	3.633	16	16	16	1.000	0.000	1	1	1	63.000	241.812	1.500	0.347	0.093	0.337	63.000	241.812	1.500	62	241	1	3	3	3
0.458	4.127	19	19	19	1.000	0.000	1	1	1	50.053	244.474	1.316	0.389	0.134	0.379	50.053	244.474	1.316	49	242	1	3	5	2
0.482	4.215	20	18	20	1.000	0.000	1	1	1	150.000	250.000	2.500	0.384	0.084	0.402	150.000	250.000	2.500	149	249	1	3	3	4
0.289	3.299	12	12	12	1.000	0.000	1	1	1	171.417	253.833	1.083	0.343	0.150	0.341	171.417	253.833	1.083	170	253	1	5	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	162.000	255.000	1.100	0.281	0.099	0.301	162.000	255.000	1.100	161	254	1	3	3	2
0.434	4.428	18	18	18	1.000	0.000	1	1	1	71.611	257.611	1.056	0.456	0.193	0.459	71.611	257.611	1.056	70	255	1	4	6	2
0.530	5.468	22	22	23	1.045	0.213	1	1	2	203.409	258.045	1.273	0.439	0.157	0.461	203.391	258.087	1.261	202	255	1	4	6	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	196.000	259.000	1.100	0.281	0.099	0.301	196.000	259.000	1.100	195	258	1	3	3	2
0.410	4.198	17	17	18	1.059	0.243	1	1	2	267.294	259.706	1.294	0.364	0.113	0.349	267.278	259.722	1.278	266	258	1	4	4	2
0.337	3.439	14	14	16	1.143	0.535	1	1	3	171.000	263.000	1.357	0.318	0.068	0.353	171.000	263.000	1.312	170	262	1	3	3	2
0.289	3.228	12	12	12	1.000	0.000	1	1	1	248.000	268.500	1.000	0.336	0.133	0.325	248.000	268.500	1.000	246	267	1	5	4	1
0.313	3.650	13	12	13	1.000	0.000	1	1	1	387.154	268.923	2.231	0.355	0.090	0.345	387.154	268.923	2.231	386	268	1	3	3	3
0.434	5.080	18	18	18	1.000	0.000	1	1	1	239.556	272.278	1.222	0.476	0.215	0.459	239.556	272.278	1.222	238	270	1	5	6	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	399.000	281.000	1.100	0.281	0.099	0.301	399.000	281.000	1.100	398	280	1	3	3	2
0.410	4.251	17	17	17	1.000	0.000	1	1	1	294.647	285.588	1.176	0.372	0.125	0.374	294.647	285.588	1.176	293	284	1	5	4	2
0.265	2.857	11	11	11	1.000	0.000	1	1	1	351.909	310.000	1.182	0.296	0.091	0.320	351.909	310.000	1.182	351	309	1	3	3	2
0.241	2.593	10	10	10	1.000	0.000	1	1	1	159.200	312.000	1.000	0.291	0.113	0.308	159.200	312.000	1.000	158	311	1	4	3	1
0.241	2.664	10	10	10	1.000	0.000	1	1	1	140.000	320.000	1.100	0.281	0.099	0.301	140.000	320.000	1.100	139	319	1	3	3	2
0.337	3.439	14	14	15	1.071	0.267	1	1	2	139.000	330.000	1.357	0.318	0.068	0.353	139.000	330.000	1.333	138	329	1	3	3	2
0.386	4.110	16	16	16	1.000	0.000	1	1	1	292.250	337.312	1.000	0.468	0.200	0.482	292.250	337.312	1.000	290	335	1	5	6	1
0.554	5.080	23	23	24	1.043	0.209	1	1	2	145.435	351.696	1.304	0.400	0.119	0.414	145.417	351.667	1.292	144	350	1	4	5	2
0.362	3.757	15	15	16	1.067	0.258	1	1	2	119.000	362.867	1.333	0.330	0.081	0.354	119.000	362.875	1.312	118	361	1	3	4	2
0.313	3.051	13	13	14	1.077	0.277	1	1	2	368.846	385.154	1.308	0.316	0.078	0.321	368.857	385.143	1.286	368	384	1	3	3	2
0.410	4.620	17	17	18	1.059	0.243	1	1	2	0.412	83.412	3.353	0.423	0.176	0.391	0.389	83.389	3.333	0	82	2	2	4	4
0.265	3.473	11	11	11	1.000	0.000	1	1	1	0.000	126.909	5.000	0.431	0.226	0.451	0.000	126.909	5.000	0	126	3	1	3	5
0.916	6.648	38	31	48	1.263	0.503	1	1	3	477.711	271.711	5.263	0.512	0.101	0.518	477.750	271.750	5.250	476	270	4	4	4	4
0.337	3.456	14	14	14	1.000	0.000	1	1	1	420.500	290.000	5.500	0.346	0.118	0.340	420.500	290.000	5.500	420	289	4	2	3	4
0.289	3.720	12	11	12	1.000	0.000	1	1	1	450.833	329.167	5.417	0.407	0.161	0.335	450.833	329.167	5.417	450	328	4	3	3	4
0.289	3.386	12	11	12	1.000	0.000	1	1	1	145.000	245.250	5.917	0.343	0.091	0.312	145.000	245.250	5.917	144	244	5	3	3	3
