Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
20759.275	21815.318	861335	255067	81992912	95.193	200.436	29	1	3746	130.117	259.907	14.012	37.233	17.893	36.287	109.800	280.587	14.324	0	0	1	211	512	28
1.036	8.131	43	39	69	1.605	1.027	1	1	5	56.791	51.558	1.512	0.535	0.176	0.509	56.928	51.551	1.420	53	49	1	7	6	3
2.049	11.978	85	72	182	2.141	1.733	1	1	9	69.435	57.329	1.659	0.661	0.159	0.673	69.527	57.275	1.495	66	54	1	7	8	3
0.603	5.327	25	25	29	1.160	0.374	1	1	2	12.280	68.920	1.280	0.425	0.147	0.407	12.310	69.000	1.241	10	67	1	5	5	2
2.290	13.105	95	74	237	2.495	2.133	2	1	11	21.263	77.937	2.000	0.696	0.144	0.690	21.203	77.895	1.671	18	75	1	7	7	4
0.241	2.664	10	10	10	1.000	0.000	1	1	1	16.000	84.000	1.100	0.281	0.099	0.301	16.000	84.000	1.100	15	83	1	3	3	2
0.506	5.080	21	21	23	1.095	0.301	1	1	2	97.667	100.095	1.238	0.432	0.162	0.411	97.652	100.174	1.217	96	97	1	4	6	2
0.434	3.810	18	18	20	1.111	0.323	1	1	2	42.500	99.000	1.333	0.352	0.089	0.381	42.500	99.000	1.300	41	98	1	4	3	2
0.964	7.567	40	38	43	1.075	0.267	1	1	2	4.625	105.350	1.550	0.537	0.178	0.561	4.628	105.372	1.512	2	104	1	7	4	3
0.289	3.175	12	12	12	1.000	0.000	1	1	1	12.000	112.250	1.167	0.310	0.097	0.317	12.000	112.250	1.167	11	111	1	3	4	2
2.892	16.932	120	96	303	2.525	2.634	1	1	13	54.392	129.117	2.392	0.844	0.279	0.769	54.492	129.370	1.799	52	125	1	6	9	6
22.752	70.223	944	517	4581	4.853	7.785	2	1	57	92.075	135.896	2.895	1.665	0.387	1.663	92.043	135.633	2.092	83	126	1	18	20	6
0.964	7.196	40	36	68	1.700	0.966	1	1	4	65.025	141.225	1.750	0.505	0.110	0.520	65.103	141.206	1.574	63	139	1	5	5	3
15.401	64.895	639	441	1698	2.657	2.737	1	1	16	12.119	172.664	2.282	1.526	0.486	1.512	11.625	172.384	1.782	2	165	1	20	17	6
7.712	34.501	320	221	1117	3.491	3.828	2	1	22	133.247	170.778	2.438	1.164	0.333	1.126	133.432	170.762	1.850	128	166	1	13	12	6
0.241	2.664	10	10	10	1.000	0.000	1	1	1	143.000	194.000	1.100	0.281	0.099	0.301	143.000	194.000	1.100	142	193	1	3	3	2
65.242	253.959	2707	1751	9817	3.627	5.304	2	1	54	45.643	254.359	3.091	4.069	1.290	4.083	46.029	253.839	2.412	29	232	1	40	50	7
1.470	10.494	61	54	81	1.328	0.676	1	1	4	83.836	243.279	1.705	0.608	0.193	0.617	83.901	243.469	1.593	81	240	1	6	7	3
0.458	4.603	19	18	20	1.053	0.229	1	1	2	23.000	53.000	3.000	0.382	0.086	0.390	23.000	53.000	3.000	22	52	2	3	3	3
3.037	19.421	126	114	231	1.833	1.295	1	1	7	78.913	253.698	2.643	0.854	0.323	0.819	79.009	253.775	2.429	73	251	2	12	7	4
9.014	41.769	374	271	894	2.390	2.115	1	1	11	62.604	268.128	3.233	1.203	0.328	1.213	62.525	268.086	2.763	57	262	2	14	15	6
0.458	4.692	19	19	25	1.316	0.582	1	1	3	112.789	284.211	2.158	0.385	0.131	0.386	112.840	284.160	2.120	111	282	2	5	5	2
0.313	3.158	13	13	17	1.308	0.480	1	1	2	67.615	297.385	2.000	0.335	0.115	0.377	67.588	297.412	2.000	66	296	2	4	4	1
0.819	6.861	34	34	47	1.382	0.652	1	1	3	63.735	319.294	2.412	0.469	0.148	0.472	63.830	319.298	2.298	61	318	2	6	4	3
0.241	2.593	10	10	11	1.100	0.316	1	1	2	12.200	337.000	2.000	0.291	0.113	0.308	12.182	337.000	2.000	11	336	2	4	3	1
0.651	6.015	27	27	39	1.444	0.641	1	1	3	55.630	349.481	2.185	0.456	0.155	0.431	55.821	349.410	2.128	53	348	2	6	4	2
14.822	82.496	615	494	1750	2.846	3.587	1	1	27	36.413	360.190	3.005	2.330	1.322	2.096	37.309	359.429	2.612	17	352	2	37	22	5
0.362	3.757	15	15	17	1.133	0.352	1	1	2	16.133	355.000	2.333	0.330	0.081	0.354	16.176	355.000	2.294	15	354	2	4	3	2
