Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
30862.859	23242.709	1280549	186937	93495344	73.012	161.465	15	1	3690	282.022	218.873	17.762	39.935	16.665	38.469	295.917	202.249	17.540	0	0	1	479	341	30
0.337	3.439	14	14	15	1.071	0.267	1	1	2	408.000	23.000	1.357	0.318	0.068	0.353	408.000	23.000	1.333	407	22	1	3	3	2
0.265	3.192	11	10	12	1.091	0.302	1	1	2	460.364	46.000	2.000	0.326	0.086	0.317	460.333	46.000	2.000	459	45	1	3	3	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	450.000	190.000	1.100	0.281	0.099	0.301	450.000	190.000	1.100	449	189	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	442.000	196.000	1.100	0.281	0.099	0.301	442.000	196.000	1.100	441	195	1	3	3	2
0.627	6.844	26	26	26	1.000	0.000	1	1	1	15.769	202.385	1.077	0.621	0.278	0.615	15.769	202.385	1.077	12	201	1	9	5	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	334.000	212.000	1.100	0.281	0.099	0.301	334.000	212.000	1.100	333	211	1	3	3	2
0.386	3.934	16	16	16	1.000	0.000	1	1	1	403.625	256.375	1.188	0.346	0.100	0.365	403.625	256.375	1.188	402	255	1	4	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	22.000	261.000	1.100	0.281	0.099	0.301	22.000	261.000	1.100	21	260	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	27.000	270.000	1.100	0.281	0.099	0.301	27.000	270.000	1.100	26	269	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	37.000	274.000	1.100	0.281	0.099	0.301	37.000	274.000	1.100	36	273	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	86.000	276.000	1.100	0.281	0.099	0.301	86.000	276.000	1.100	85	275	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	168.000	301.000	1.100	0.281	0.099	0.301	168.000	301.000	1.100	167	300	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	202.000	305.000	1.100	0.281	0.099	0.301	202.000	305.000	1.100	201	304	1	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	167.000	309.000	1.100	0.281	0.099	0.301	167.000	309.000	1.100	166	308	1	3	3	2
0.337	3.439	14	14	15	1.071	0.267	1	1	2	92.000	313.000	1.357	0.318	0.068	0.353	92.000	313.000	1.333	91	312	1	3	3	2
0.651	4.603	27	26	35	1.296	0.542	1	1	3	468.000	66.000	3.000	0.426	0.098	0.462	468.000	66.000	3.000	467	65	2	3	3	3
0.265	3.333	11	11	11	1.000	0.000	1	1	1	166.091	246.000	6.636	0.320	0.106	0.306	166.091	246.000	6.636	165	245	6	3	3	3
2.049	14.600	85	67	95	1.118	0.359	1	1	3	140.953	292.424	8.000	0.744	0.230	0.771	140.853	292.432	7.979	138	291	6	8	4	6
0.362	4.091	15	13	15	1.000	0.000	1	1	1	387.667	161.000	7.800	0.373	0.076	0.353	387.667	161.000	7.800	386	160	7	4	3	3
2.964	14.831	123	90	926	7.528	10.246	3	1	60	255.000	131.000	11.000	0.789	0.142	0.804	255.000	131.000	11.000	252	128	8	7	7	7
1.952	10.739	81	54	226	2.790	2.931	1	1	16	349.000	84.000	13.000	0.691	0.114	0.679	349.000	84.000	13.000	347	82	11	5	5	5
0.651	4.603	27	26	35	1.296	0.542	1	1	3	476.000	9.000	16.000	0.426	0.098	0.462	476.000	9.000	16.000	475	8	15	3	3	3
0.458	4.603	19	18	20	1.053	0.229	1	1	2	324.000	31.000	25.000	0.382	0.086	0.390	324.000	31.000	25.000	323	30	24	3	3	3
0.458	4.603	19	18	20	1.053	0.229	1	1	2	82.000	241.000	25.000	0.382	0.086	0.390	82.000	241.000	25.000	81	240	24	3	3	3
0.337	4.091	14	13	14	1.000	0.000	1	1	1	334.929	47.286	25.929	0.388	0.126	0.404	334.929	47.286	25.929	334	46	25	3	4	3
12.942	83.696	537	456	944	1.758	1.996	1	1	18	331.540	37.209	29.043	1.914	0.801	1.822	332.371	38.127	29.261	314	28	26	29	19	5
0.289	3.774	12	11	13	1.083	0.289	1	1	2	347.250	41.083	29.083	0.376	0.111	0.412	347.231	41.077	29.077	346	40	28	4	3	3
1.277	8.820	53	51	80	1.509	0.775	1	1	4	319.000	44.509	29.509	0.537	0.152	0.548	318.850	44.575	29.612	316	42	28	7	6	3
0.723	6.384	30	29	30	1.000	0.000	1	1	1	324.967	48.400	29.267	0.455	0.140	0.490	324.967	48.400	29.267	323	47	28	5	4	3
0.241	2.664	10	10	10	1.000	0.000	1	1	1	326.000	24.000	29.900	0.281	0.099	0.301	326.000	24.000	29.900	325	23	29	3	3	2
0.313	3.369	13	13	13	1.000	0.000	1	1	1	331.308	25.154	29.692	0.332	0.102	0.322	331.308	25.154	29.692	330	24	29	4	3	2
0.386	3.757	16	16	16	1.000	0.000	1	1	1	339.188	49.188	29.562	0.344	0.088	0.344	339.188	49.188	29.562	338	48	29	3	4	2
0.386	3.934	16	16	16	1.000	0.000	1	1	1	389.375	144.375	29.812	0.346	0.100	0.365	389.375	144.375	29.812	388	143	29	4	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	132.000	225.000	29.900	0.281	0.099	0.301	132.000	225.000	29.900	131	224	29	3	3	2
0.313	3.422	13	13	13	1.000	0.000	1	1	1	134.615	234.615	29.923	0.346	0.129	0.378	134.615	234.615	29.923	133	233	29	4	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	80.000	237.000	29.900	0.281	0.099	0.301	80.000	237.000	29.900	79	236	29	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	102.000	237.000	29.900	0.281	0.099	0.301	102.000	237.000	29.900	101	236	29	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	283.000	322.000	29.900	0.281	0.099	0.301	283.000	322.000	29.900	282	321	29	3	3	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	408.000	359.000	29.900	0.281	0.099	0.301	408.000	359.000	29.900	407	358	29	3	3	2
